Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-30-10,2,-0.062,-0.413,-0.018,0.908,352.645,311.091,97.059,9,sea
12-30-11,2,-0.076,-0.573,0.009,0.798,354.213,288.335,53.740,9,sea
12-30-12,2,-0.083,-0.880,0.006,0.449,355.983,233.733,8.955,9,sea
12-30-13,2,-0.026,-0.873,-0.024,0.456,356.914,235.022,153.693,9,sea
12-30-14,2,0.016,-0.716,-0.047,0.696,357.418,268.412,354.927,9,sea
12-30-15,2,-0.000,-0.678,-0.042,0.732,356.735,274.527,356.477,9,sea
12-30-16,2,-0.013,-0.612,-0.041,0.789,355.934,284.512,357.256,9,sea
12-30-17,2,-0.045,-0.622,-0.028,0.781,354.016,282.885,87.579,9,sea
12-30-18,2,-0.046,-0.620,-0.030,0.783,353.758,283.212,81.834,9,sea
12-30-19,2,-0.054,-0.634,-0.033,0.770,352.762,281.029,1.072,9,sea
12-30-20,2,-0.058,-0.755,-0.045,0.651,351.777,261.431,1.644,9,sea
12-30-21,2,-0.082,-0.846,-0.024,0.513,353.163,242.074,6.584,9,sea
12-30-22,2,-0.065,-0.948,-0.045,0.306,352.788,215.374,5.546,9,sea
12-30-23,2,-0.037,-0.972,-0.063,0.221,352.075,205.487,2.600,9,sea
12-30-24,2,-0.016,-0.984,-0.060,0.166,352.883,199.098,40.618,9,sea
12-30-25,2,0.004,-0.983,-0.052,0.173,354.252,199.987,291.867,9,sea
12-30-26,2,-0.005,-0.993,-0.053,0.104,353.908,191.909,221.469,9,sea
12-30-27,2,-0.001,-0.996,-0.059,0.064,353.296,187.383,205.352,9,sea
12-30-28,2,0.010,-0.995,-0.061,0.074,353.071,188.623,358.356,9,sea
12-30-29,2,0.020,-0.989,-0.060,0.127,353.519,194.798,356.814,9,sea
12-30-30,2,0.023,-0.972,-0.063,0.221,353.555,205.868,355.846,9,sea
12-30-31,2,0.021,-0.940,-0.070,0.333,353.245,219.299,355.021,9,sea
12-30-32,2,-0.006,-0.907,-0.108,0.405,348.395,228.581,355.451,9,sea
12-30-33,2,-0.031,-0.891,-0.106,0.439,347.503,232.686,344.405,9,sea
12-30-34,2,-0.039,-0.908,-0.098,0.406,347.927,228.194,226.202,9,sea
12-30-35,2,-0.044,-0.928,-0.094,0.358,348.144,222.149,52.255,9,sea
12-30-36,2,-0.034,-0.935,-0.094,0.340,348.463,219.943,187.202,9,sea
12-30-37,2,-0.005,-0.888,-0.099,0.433,349.892,232.376,302.304,9,sea
12-30-38,2,0.017,-0.696,-0.100,0.709,353.321,271.578,350.386,9,sea
12-30-39,2,-0.026,-0.635,-0.057,0.769,353.552,281.077,356.856,9,sea
