Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-14-31,0,0.156,-0.116,0.061,0.979,18.658,347.268,5.018,9,walk
12-14-32,0,0.077,-0.154,0.083,0.981,10.182,342.854,8.206,9,walk
12-14-33,0,0.039,-0.180,0.095,0.978,6.345,339.687,10.008,9,walk
12-14-34,0,0.015,-0.186,0.095,0.978,3.676,338.768,10.377,9,walk
12-14-35,0,-0.004,-0.177,0.097,0.979,1.512,339.643,11.036,9,walk
12-14-36,0,0.208,-0.278,0.138,0.921,27.812,328.580,8.697,9,walk
12-14-37,0,0.087,0.410,-0.030,0.872,11.126,77.959,69.835,9,walk
12-14-38,0,0.055,0.684,-0.052,0.724,8.697,86.735,205.777,9,walk
12-14-39,0,0.078,0.651,-0.040,0.754,9.771,81.800,2.406,9,walk
12-14-40,0,0.089,0.594,-0.003,0.800,8.343,73.589,5.881,9,walk
12-14-41,0,0.089,0.584,-0.001,0.807,8.321,72.182,5.934,9,walk
12-14-42,0,0.081,0.566,-0.017,0.820,8.773,69.475,3.742,9,walk
12-14-43,0,0.110,0.545,0.001,0.831,10.537,67.195,7.102,9,walk
12-14-44,0,0.087,0.565,0.017,0.820,7.091,69.571,7.372,9,walk
12-14-45,0,0.089,0.569,0.022,0.817,6.924,70.232,7.897,9,walk
12-14-46,0,0.119,0.503,0.018,0.855,10.702,61.785,8.804,9,walk
12-14-47,0,0.092,0.586,0.022,0.804,7.045,72.698,8.304,9,walk
12-14-48,0,0.101,0.548,0.017,0.830,8.499,67.450,8.088,9,walk
12-14-49,0,0.106,0.549,0.016,0.829,9.127,67.761,8.317,9,walk
12-14-50,0,0.192,0.426,-0.040,0.881,21.894,52.658,5.463,9,walk
12-14-51,0,0.111,0.553,0.022,0.825,9.149,68.359,9.202,9,walk
12-14-52,0,0.102,0.548,0.025,0.830,8.187,67.573,8.874,9,walk
12-14-53,0,0.097,0.551,0.029,0.829,7.330,67.789,8.989,9,walk
12-14-54,0,0.158,0.489,0.005,0.852,15.518,60.916,9.310,9,walk
12-14-55,0,0.187,0.506,-0.015,0.838,19.331,63.830,9.667,9,walk
12-14-56,0,0.121,0.549,-0.003,0.827,11.754,67.940,7.478,9,walk
12-14-57,0,0.121,0.557,-0.003,0.822,11.597,69.076,7.640,9,walk
12-14-58,0,0.199,0.513,-0.049,0.828,22.529,64.821,7.240,9,walk
12-14-59,0,0.148,0.559,-0.021,0.810,15.500,70.184,7.504,9,walk
12-15-00,0,0.079,0.575,-0.000,0.814,7.384,70.766,5.225,9,walk
