Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-37-01,0,0.037,0.623,0.004,0.781,3.049,77.237,3.043,1,sea
12-37-02,0,0.028,0.564,-0.001,0.825,2.683,68.761,1.701,1,sea
12-37-03,0,0.037,0.403,0.018,0.910,3.060,47.819,3.650,1,sea
12-37-04,0,0.003,0.262,0.015,0.965,179.889,30.372,1.775,1,sea
12-37-05,0,-0.007,0.335,0.026,0.940,358.172,39.227,2.478,1,sea
12-37-06,0,-0.008,0.343,0.015,0.939,358.568,40.057,1.353,1,sea
12-37-07,0,0.001,0.292,0.018,0.956,359.546,34.015,2.010,1,sea
12-37-08,0,-0.004,0.276,0.013,0.961,359.116,32.096,1.346,1,sea
12-37-09,0,-0.012,0.218,0.017,0.976,358.203,25.137,1.622,1,sea
12-37-10,0,-0.021,0.401,0.030,0.911,356.434,47.432,2.056,1,sea
12-37-11,0,-0.028,0.355,0.025,0.933,356.051,41.610,1.508,1,sea
12-37-12,0,-0.020,0.327,0.017,0.944,357.157,38.187,27.772,1,sea
12-37-13,0,-0.013,0.353,0.023,0.935,357.682,41.279,28.604,1,sea
12-37-14,0,-0.009,0.339,0.027,0.940,357.962,39.618,2.589,1,sea
12-37-15,0,-0.011,0.438,0.004,0.895,317.342,52.197,179.945,1,sea
12-37-16,0,-0.010,0.603,-0.001,0.796,359.112,74.234,262.321,1,sea
12-37-17,0,0.005,0.618,0.029,0.785,358.454,76.362,72.267,1,sea
12-37-18,0,0.010,0.595,0.038,0.802,358.340,73.105,4.238,1,sea
12-37-19,0,0.014,0.545,0.048,0.837,358.306,66.098,5.491,1,sea
12-37-20,0,0.000,0.546,0.043,0.836,357.314,66.200,4.189,1,sea
12-37-21,0,-0.009,0.560,0.044,0.827,356.326,68.109,3.663,1,sea
12-37-22,0,-0.004,0.589,0.031,0.807,357.613,72.182,2.638,1,sea
12-37-23,0,0.003,0.677,0.021,0.735,358.574,85.263,2.024,1,sea
12-37-24,0,0.007,0.727,0.023,0.686,358.665,93.255,2.414,1,sea
12-37-25,0,-0.004,0.810,0.011,0.579,358.950,108.847,125.005,1,sea
12-37-26,0,-0.030,0.951,-0.006,0.303,331.854,144.698,356.556,1,sea
12-37-27,0,-0.005,0.940,0.006,0.340,359.124,140.247,345.250,1,sea
12-37-28,0,0.023,0.924,0.008,0.379,115.477,135.453,2.801,1,sea
12-37-29,0,0.037,0.875,0.009,0.480,1.146,122.561,4.241,1,sea
12-37-30,0,0.048,0.798,0.012,0.600,2.173,106.200,5.235,1,sea
