Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
07-45-10,1.372,5.000,0.867,0.890,4.068,4.093,0.476,0.502,0.489,0.406,-0.004,0.004,-0.026,-0.044,-0.078,0.995,-0.015,4.914,22.334,0.018,0.039,0.994,35.567,4.606,-34.493,-32.748,5.753,-27.772,0.031,-0.058,0.803,0.050,-0.079,0.801,,11,roller
07-45-11,1.539,5.000,0.817,0.812,3.864,3.926,0.449,0.441,0.498,0.390,-0.007,0.004,-0.024,-0.019,-0.003,0.998,-0.016,5.877,27.263,0.038,0.346,0.915,35.175,4.626,-33.893,-32.880,5.796,-27.189,0.019,0.011,0.786,0.020,-0.012,0.785,,11,roller
07-45-12,2.081,5.000,0.989,0.977,5.275,5.418,0.464,0.537,0.484,0.438,0.006,0.005,-0.032,-0.080,-0.204,0.974,0.000,10.760,39.048,0.026,0.577,0.814,35.712,3.966,-34.281,-32.644,5.243,-27.988,0.080,-0.203,0.975,0.082,-0.211,0.972,,11,roller
07-45-13,0.739,5.000,0.996,0.987,5.221,5.443,0.467,0.547,0.489,0.459,0.005,0.004,-0.031,-0.058,-0.252,0.966,-0.009,15.416,43.736,0.027,0.540,0.841,35.705,3.801,-34.252,-32.693,4.890,-28.099,0.059,-0.238,0.969,0.056,-0.269,0.961,,11,roller
07-45-14,2.506,5.000,0.975,0.949,5.108,5.409,0.482,0.566,0.505,0.473,0.004,0.004,-0.032,-0.018,-0.289,0.956,-0.014,19.779,48.101,0.069,0.510,0.856,35.418,3.471,-34.291,-32.963,4.655,-28.264,0.027,-0.280,0.959,0.005,-0.299,0.953,,11,roller
07-45-15,2.276,5.000,0.852,0.880,4.877,5.198,0.477,0.577,0.500,0.481,0.005,0.004,-0.032,-0.030,-0.323,0.944,-0.010,24.086,52.410,0.064,0.468,0.880,35.519,3.333,-34.307,-32.894,4.567,-28.377,0.037,-0.323,0.944,0.025,-0.330,0.942,,11,roller
07-45-16,2.347,5.000,0.590,0.536,3.396,3.609,0.427,0.534,0.487,0.482,0.003,0.003,-0.024,-0.043,-0.276,0.948,-0.008,22.204,44.053,0.032,0.335,0.923,35.651,3.459,-34.260,-32.566,4.763,-28.387,0.036,-0.257,0.696,0.047,-0.274,0.689,,11,roller
07-45-17,0.933,5.000,0.915,0.921,4.792,5.019,0.471,0.547,0.491,0.454,0.004,0.004,-0.031,-0.054,-0.249,0.966,-0.010,32.662,60.985,0.040,0.533,0.844,35.666,3.773,-34.124,-32.759,5.055,-28.275,0.049,-0.240,0.968,0.058,-0.260,0.963,,11,roller
07-45-18,2.874,5.000,0.597,0.483,3.388,3.788,0.470,0.563,0.487,0.465,0.005,0.003,-0.025,-0.047,-0.254,0.957,-0.006,29.935,52.593,0.033,0.377,0.904,35.740,3.662,-34.152,-32.698,4.972,-28.304,0.044,-0.253,0.758,0.054,-0.266,0.782,,11,roller
07-45-19,2.078,5.000,0.559,0.462,3.842,4.041,0.464,0.605,0.470,0.497,0.005,0.003,-0.027,-0.080,-0.349,0.921,-0.006,35.534,60.030,0.011,0.334,0.932,35.878,3.214,-34.314,-32.367,4.513,-28.579,0.074,-0.349,0.787,0.083,-0.341,0.760,,11,roller
07-45-20,0.420,5.000,0.372,0.167,3.345,3.765,0.473,0.629,0.491,0.499,0.007,0.003,-0.025,-0.035,-0.343,0.918,-0.004,35.611,57.615,0.050,0.168,0.978,35.639,2.827,-34.507,-32.847,4.119,-28.667,0.025,-0.403,0.657,0.051,-0.245,0.730,,11,roller
07-45-21,0.100,5.000,0.328,0.123,2.752,3.774,0.419,0.602,0.467,0.515,0.002,0.002,-0.024,-0.059,-0.333,0.917,-0.008,36.947,60.342,0.022,-0.194,0.966,35.848,2.610,-34.687,-32.315,3.748,-28.913,0.057,-0.364,0.543,0.061,-0.241,0.700,,11,roller
07-45-22,0.251,5.000,0.375,0.160,3.823,3.848,0.445,0.628,0.470,0.503,0.007,0.003,-0.027,-0.101,-0.349,0.916,-0.003,41.206,72.507,-0.010,-0.540,0.787,36.027,2.841,-34.604,-32.349,4.193,-28.709,0.112,-0.376,0.696,0.072,-0.267,0.719,,11,roller
07-45-23,0.100,5.000,0.031,0.086,-1.000,-1.000,0.459,0.593,0.458,0.495,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,35.801,2.991,-34.491,-32.021,4.352,-28.657,0.000,0.000,0.000,0.000,0.000,0.000,,11,roller
07-45-24,0.257,5.000,0.135,0.101,1.855,1.915,0.371,0.489,0.412,0.438,0.001,0.002,-0.019,-0.059,-0.186,0.966,-0.006,14.536,58.713,0.001,-0.590,0.355,35.841,3.273,-34.358,-32.254,4.615,-28.616,0.038,-0.128,0.416,0.049,-0.169,0.432,,11,roller
07-45-25,1.549,5.000,0.912,0.872,5.112,5.254,0.457,0.545,0.477,0.447,0.011,0.004,-0.032,-0.097,-0.252,0.955,0.001,8.408,110.291,0.005,-0.494,0.722,35.855,3.852,-34.109,-32.516,5.237,-28.240,0.096,-0.240,0.958,0.097,-0.260,0.953,,11,roller
07-45-26,4.179,5.000,1.000,1.000,4.716,5.020,0.467,0.464,0.481,0.362,0.006,0.005,-0.031,-0.070,0.049,0.993,-0.686,14.019,130.133,-0.039,0.808,0.202,35.695,4.900,-33.840,-32.486,6.181,-27.136,0.070,0.052,0.993,0.064,0.057,0.993,,11,roller
07-45-27,3.669,5.000,1.000,1.000,5.156,5.355,0.472,0.443,0.484,0.340,0.004,0.006,-0.030,-0.057,0.143,0.987,-1.671,28.850,125.664,-0.043,0.225,-0.902,35.603,5.041,-33.314,-32.529,6.515,-27.241,0.058,0.138,0.988,0.052,0.143,0.987,,11,roller
07-45-28,2.282,5.000,0.985,0.964,4.776,5.012,0.479,0.440,0.492,0.340,0.005,0.005,-0.028,-0.034,0.138,0.988,-2.280,24.962,101.737,-0.022,-0.713,-0.391,35.502,5.163,-33.485,-32.670,6.452,-26.788,0.035,0.133,0.895,0.029,0.140,0.895,,11,roller
07-45-29,2.302,5.000,0.899,0.878,4.304,4.454,0.474,0.482,0.485,0.383,-0.009,0.005,-0.025,-0.050,0.010,0.997,-2.766,12.220,91.664,-0.031,-0.683,0.517,35.618,5.304,-36.327,-32.615,5.899,-27.332,0.042,0.011,0.837,0.053,0.007,0.835,,11,roller
07-45-30,2.681,5.000,0.838,0.804,3.859,3.907,0.446,0.518,0.464,0.414,0.001,0.004,-0.025,-0.094,-0.090,0.988,-3.986,6.080,100.383,-0.129,0.182,0.932,36.075,4.330,-34.633,-32.268,5.653,-27.930,0.089,-0.085,0.783,0.099,-0.095,0.781,,11,roller
