Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
11-43-28,1.772,1,0.691,0.711,4.147,3.147,0.472,0.503,0.485,0.520,0.007,-0.002,-0.022,0.301,-0.097,0.905,-42.919,2.012,63.489,-0.755,-0.149,0.053,30.647,-2.062,-25.486,-31.773,-1.917,-27.239,-0.305,-0.132,0.809,-0.304,-0.037,0.617,,13,beach
11-43-29,1.299,1,0.362,0.436,2.921,2.754,0.478,0.646,0.469,0.641,-0.003,-0.003,-0.023,0.096,-0.284,0.898,-44.889,2.084,66.355,-0.530,-0.493,-0.249,31.675,-3.346,-25.630,-30.275,-2.828,-27.000,-0.129,-0.256,0.724,-0.070,-0.218,0.643,,13,beach
11-43-30,2.404,1,1.000,1.000,4.978,4.833,0.606,0.625,0.636,0.648,0.000,-0.002,-0.026,0.334,-0.081,0.935,-51.976,2.424,76.827,-0.874,-0.245,-0.420,30.792,-1.885,-25.199,-31.926,-1.871,-27.055,-0.342,-0.083,0.932,-0.324,-0.087,0.937,,13,beach
11-43-31,1.781,1,1.000,1.000,4.923,4.762,0.598,0.662,0.631,0.690,-0.001,-0.002,-0.026,0.299,-0.212,0.930,-51.960,2.432,76.832,-0.873,-0.259,-0.413,30.852,-2.391,-25.063,-31.979,-2.359,-27.056,-0.309,-0.204,0.929,-0.289,-0.219,0.932,,13,beach
11-43-32,2.105,1,1.000,1.000,4.941,4.787,0.600,0.660,0.634,0.686,0.001,-0.002,-0.026,0.304,-0.213,0.929,-51.962,2.434,76.830,-0.872,-0.261,-0.414,30.813,-2.373,-24.906,-32.035,-2.251,-27.040,-0.313,-0.207,0.927,-0.294,-0.218,0.931,,13,beach
11-43-33,4.242,1,0.859,0.856,4.000,4.016,0.440,0.462,0.533,0.559,-0.010,-0.001,-0.023,0.228,-0.022,0.964,-44.871,2.104,66.339,-0.737,-0.069,-0.295,31.085,-1.503,-25.324,-31.575,-1.636,-26.891,-0.228,-0.022,0.828,-0.225,-0.016,0.829,,13,beach
11-43-34,0.866,1,0.066,0.173,-1.000,0.583,0.390,0.624,0.432,0.700,-0.010,-0.001,-0.009,-0.036,-0.158,0.953,-16.535,0.762,24.429,-0.065,-0.256,0.509,31.885,-3.811,-26.361,-30.046,-3.672,-27.080,0.000,0.000,0.000,0.037,-0.154,0.273,,13,beach
11-43-35,3.206,1,0.988,0.978,4.452,4.499,0.586,0.639,0.610,0.657,0.001,-0.002,-0.025,0.274,-0.120,0.949,-49.648,2.282,73.300,-0.739,-0.492,-0.299,31.153,-1.924,-25.767,-31.368,-1.962,-26.899,-0.273,-0.126,0.903,-0.270,-0.121,0.904,,13,beach
11-43-36,2.065,1,1.000,1.000,4.426,4.491,0.576,0.635,0.605,0.655,-0.001,-0.002,-0.026,0.253,-0.127,0.957,-52.000,2.404,76.804,-0.844,-0.422,-0.331,31.267,-1.823,-25.696,-31.426,-1.981,-26.863,-0.252,-0.135,0.956,-0.254,-0.124,0.957,,13,beach
11-43-37,1.662,1,0.985,0.954,4.536,4.591,0.576,0.651,0.607,0.673,0.002,-0.002,-0.026,0.252,-0.189,0.949,-51.982,2.411,76.816,-0.843,-0.431,-0.322,31.228,-1.968,-25.678,-31.473,-2.195,-26.839,-0.248,-0.197,0.948,-0.256,-0.180,0.950,,13,beach
