Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
05-04-43,0,0.019,-0.991,0.053,0.056,6.422,186.401,307.029,14,beach
05-04-44,0,0.200,-0.777,0.186,0.563,30.993,249.897,353.197,14,beach
05-04-45,0,0.174,-0.823,0.171,0.512,27.368,242.049,352.824,14,beach
05-04-46,0,0.276,-0.661,0.196,0.665,39.033,267.660,352.492,14,beach
05-04-47,0,0.276,-0.727,0.200,0.593,38.415,254.201,348.002,14,beach
05-04-48,0,0.041,-0.965,0.093,0.084,12.334,189.836,194.271,14,beach
05-04-49,0,0.115,-0.872,0.162,0.338,22.777,222.528,288.306,14,beach
05-04-50,0,0.171,-0.750,0.153,0.533,26.367,250.751,238.303,14,beach
05-04-51,0,-0.044,-0.997,0.024,-0.034,51.987,176.146,21.350,14,beach
05-04-52,0,0.145,-0.786,0.104,0.442,20.344,238.454,354.898,14,beach
05-04-53,0,0.252,-0.629,0.147,0.713,33.437,274.982,352.866,14,beach
05-04-54,0,0.009,-0.989,0.066,0.036,7.811,184.172,179.474,14,beach
05-04-55,0,0.079,-0.912,0.105,0.246,14.969,210.524,356.705,14,beach
05-04-56,0,0.236,-0.639,0.174,0.710,33.834,274.831,356.139,14,beach
05-04-57,0,0.055,-0.940,0.101,0.169,13.655,200.731,295.466,14,beach
05-04-58,0,0.039,-0.996,0.044,0.032,5.193,183.468,355.780,14,beach
05-04-59,0,0.187,-0.729,0.132,0.586,26.149,256.449,354.426,14,beach
05-05-00,0,0.269,-0.603,0.161,0.733,36.101,279.083,353.689,14,beach
05-05-01,0,0.255,-0.696,0.145,0.655,32.396,263.255,348.781,14,beach
05-05-02,0,0.297,-0.744,0.170,0.574,36.443,249.350,342.133,14,beach
05-05-03,0,0.285,-0.777,0.214,0.517,38.962,241.310,343.367,14,beach
05-05-04,0,0.253,-0.810,0.220,0.468,36.921,235.278,345.683,14,beach
05-05-05,0,-0.026,-0.997,0.028,-0.022,3.433,177.467,84.853,14,beach
05-05-06,0,0.038,-0.960,0.062,0.155,40.034,198.331,248.455,14,beach
05-05-07,0,0.223,-0.690,0.168,0.661,31.874,265.589,353.875,14,beach
05-05-08,0,0.041,-0.950,0.069,0.166,41.733,199.783,171.128,14,beach
05-05-09,0,-0.017,-0.996,0.045,0.032,37.927,183.658,133.099,14,beach
05-05-10,0,0.214,-0.663,0.091,0.684,25.379,269.472,350.698,14,beach
05-05-11,0,0.128,-0.858,0.067,0.340,15.730,222.072,258.587,14,beach
05-05-12,0,-0.028,-0.997,0.044,-0.010,21.535,178.902,101.380,14,beach
