Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-38-44,1,-0.087,-0.044,0.008,0.972,223.135,352.880,213.924,14,roller
04-38-45,1,-0.497,-0.231,0.446,0.655,334.409,299.297,83.398,14,roller
04-38-46,1,-0.540,0.027,0.799,-0.126,136.545,294.188,194.353,14,roller
04-38-47,1,-0.331,0.309,0.410,-0.760,13.659,306.967,296.001,14,roller
04-38-48,1,0.065,0.110,-0.014,-0.973,193.491,345.530,129.115,14,roller
04-38-49,1,0.609,-0.001,0.015,-0.769,292.247,248.029,110.861,14,roller
04-38-50,1,0.488,-0.489,0.505,-0.385,182.419,94.987,261.439,14,roller
04-38-51,1,-0.002,-0.682,0.693,0.201,71.228,258.000,107.939,14,roller
04-38-52,1,0.007,-0.908,0.345,0.142,38.876,205.369,123.895,14,roller
04-38-53,1,0.010,-0.965,-0.227,-0.005,312.996,179.555,359.062,14,roller
04-38-54,1,0.004,-0.899,-0.434,-0.016,308.445,177.661,82.876,14,roller
04-38-55,1,0.024,-0.984,-0.055,-0.024,209.579,177.003,357.206,14,roller
04-38-56,1,0.187,-0.888,0.405,0.048,48.267,173.762,333.383,14,roller
04-38-57,1,0.238,-0.878,0.283,0.265,38.998,204.358,337.008,14,roller
04-38-58,1,0.238,-0.659,-0.168,0.666,111.645,269.272,324.719,14,roller
04-38-59,1,0.008,-0.262,-0.310,0.895,351.227,289.177,323.496,14,roller
04-39-00,1,-0.291,0.327,-0.302,0.812,342.607,51.681,310.809,14,roller
04-39-01,1,-0.278,0.755,-0.069,0.584,346.935,108.227,328.970,14,roller
04-39-02,1,-0.202,0.837,-0.059,0.505,353.987,118.999,336.426,14,roller
04-39-03,1,-0.210,0.729,-0.102,0.641,353.005,98.917,333.871,14,roller
04-39-04,1,-0.307,0.836,-0.233,0.366,52.596,128.504,315.719,14,roller
04-39-05,1,-0.317,0.897,-0.294,0.041,29.703,162.678,316.665,14,roller
04-39-06,1,-0.131,0.965,-0.185,-0.101,22.534,188.772,346.064,14,roller
04-39-07,1,0.015,0.981,0.092,-0.117,264.378,193.337,169.427,14,roller
04-39-08,1,0.103,0.869,0.235,-0.416,330.249,231.226,289.294,14,roller
04-39-09,1,0.011,0.876,0.015,-0.471,192.519,236.604,243.334,14,roller
04-39-10,1,-0.003,0.914,-0.270,-0.278,30.359,216.288,9.274,14,roller
04-39-11,1,0.179,0.950,-0.225,0.025,26.622,181.897,22.170,14,roller
04-39-12,1,0.233,0.896,0.090,0.333,243.323,139.119,29.695,14,roller
04-39-13,1,0.213,0.598,0.131,0.747,31.882,79.466,26.886,14,roller
