Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-28-09,0,-0.112,0.745,0.155,0.639,338.031,98.418,1.951,14,room
04-28-10,0,-0.074,0.777,0.095,0.616,346.188,103.190,205.861,14,room
04-28-11,0,-0.192,0.769,0.169,0.585,331.051,107.209,353.517,14,room
04-28-12,0,-0.190,0.752,0.173,0.605,330.685,103.949,306.727,14,room
04-28-13,0,-0.037,0.136,0.033,0.029,171.879,67.583,1.863,14,room
04-28-14,0,-0.045,-0.431,0.019,-0.899,5.657,51.261,156.201,14,room
04-28-15,0,0.099,0.272,-0.077,0.338,25.825,66.003,112.275,14,room
04-28-16,0,0.128,0.700,-0.142,0.686,22.044,90.907,309.375,14,room
04-28-17,0,0.107,0.759,-0.125,0.629,18.926,100.714,198.791,14,room
04-28-18,0,0.059,0.820,-0.067,0.566,10.201,110.893,1.266,14,room
04-28-19,0,0.042,0.795,-0.047,0.603,7.206,105.660,149.504,14,room
04-28-20,0,0.018,0.853,-0.034,0.520,4.336,117.252,285.233,14,room
04-28-21,0,0.006,0.919,-0.120,0.365,13.294,136.114,306.135,14,room
04-28-22,0,0.005,0.980,-0.055,0.181,6.256,158.972,235.167,14,room
04-28-23,0,-0.017,0.987,-0.012,0.091,1.513,169.432,295.929,14,room
04-28-24,0,-0.052,0.956,0.024,-0.278,234.893,212.465,353.307,14,room
04-28-25,0,-0.014,0.927,0.035,-0.372,356.935,223.763,356.988,14,room
04-28-26,0,-0.013,0.906,0.035,-0.420,357.051,229.811,356.943,14,room
04-28-27,0,-0.013,0.875,0.025,-0.484,358.197,237.934,357.288,14,room
04-28-28,0,-0.015,0.867,0.019,-0.498,300.900,239.714,357.491,14,room
04-28-29,0,-0.111,0.635,-0.016,-0.758,11.021,279.480,353.318,14,room
04-28-30,0,-0.101,0.632,-0.010,-0.767,9.687,280.430,353.541,14,room
04-28-31,0,0.004,0.954,-0.024,-0.210,84.337,204.943,140.425,14,room
04-28-32,0,-0.033,0.962,-0.242,-0.077,28.334,188.640,358.312,14,room
04-28-33,0,-0.078,0.919,-0.337,-0.179,40.511,201.218,346.064,14,room
04-28-34,0,-0.034,0.985,-0.126,-0.068,14.823,187.560,357.435,14,room
04-28-35,0,-0.039,0.923,-0.006,-0.301,14.847,216.056,355.759,14,room
04-28-36,0,-0.104,0.535,0.033,-0.829,7.827,293.705,350.470,14,room
04-28-37,0,-0.093,0.288,0.034,-0.949,9.051,325.658,353.012,14,room
04-28-38,0,-0.102,0.114,0.051,-0.984,10.930,334.513,352.974,14,room
