Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
04-54-05,3.275,0,0.874,0.852,4.370,4.555,0.525,0.687,0.488,0.719,0.014,-0.004,-0.028,-0.162,-0.065,0.984,-47.849,3.968,48.266,0.983,-0.183,0.018,31.457,-3.588,-27.148,-31.085,-3.727,-29.005,0.163,-0.063,0.984,0.156,-0.069,0.985,,14,walk
04-54-06,3.166,0,0.869,0.872,4.216,4.471,0.512,0.676,0.478,0.706,0.022,-0.003,-0.026,-0.188,-0.017,0.981,-46.164,3.813,46.427,0.942,-0.186,0.072,31.664,-3.443,-27.314,-30.930,-3.615,-29.058,0.185,-0.016,0.943,0.176,-0.020,0.944,,14,walk
04-54-07,2.475,0,0.911,0.956,4.466,4.544,0.505,0.684,0.469,0.715,0.028,-0.004,-0.027,-0.216,-0.030,0.976,-47.850,3.969,48.402,0.978,-0.206,0.001,31.738,-3.608,-27.342,-30.842,-3.805,-28.991,0.219,-0.030,0.975,0.206,-0.038,0.977,,14,walk
04-54-08,3.299,0,0.928,0.967,4.478,4.654,0.494,0.689,0.460,0.717,0.020,-0.004,-0.028,-0.243,-0.049,0.968,-47.790,3.965,48.480,0.976,-0.217,-0.003,31.897,-3.649,-27.372,-30.717,-3.778,-28.966,0.245,-0.047,0.968,0.235,-0.051,0.970,,14,walk
04-54-09,2.431,0,0.999,0.999,4.372,4.616,0.544,0.687,0.511,0.718,0.004,-0.004,-0.028,-0.111,-0.055,0.992,-47.861,3.968,48.415,0.978,-0.205,-0.031,31.167,-3.639,-27.201,-31.490,-3.719,-29.130,0.110,-0.053,0.992,0.111,-0.059,0.992,,14,walk
04-54-10,2.175,0,0.864,0.842,4.352,4.258,0.545,0.727,0.491,0.754,0.008,-0.004,-0.028,-0.132,-0.149,0.962,-48.015,3.966,48.275,0.921,-0.326,-0.084,31.190,-4.102,-27.488,-31.098,-4.136,-29.279,0.102,-0.156,0.962,0.135,-0.141,0.922,,14,walk
04-54-11,4.111,0,1.000,1.000,4.079,4.370,0.527,0.671,0.491,0.696,0.018,-0.004,-0.028,-0.151,0.024,0.988,-47.899,3.972,48.365,0.996,-0.092,-0.006,31.465,-3.519,-27.363,-31.132,-3.599,-29.062,0.150,0.020,0.988,0.150,0.027,0.988,,14,walk
04-54-12,3.378,0,0.951,0.935,4.232,4.184,0.638,0.685,0.603,0.725,0.010,-0.004,-0.028,0.130,-0.029,0.957,-47.846,3.983,48.397,0.708,-0.060,-0.530,29.781,-3.703,-27.160,-32.609,-3.841,-29.187,-0.132,-0.020,0.958,-0.123,-0.033,0.918,,14,walk
04-54-13,2.985,0,1.000,1.000,4.121,4.317,0.609,0.664,0.572,0.695,-0.002,-0.004,-0.028,0.092,0.062,0.970,-48.001,3.980,48.228,0.232,-0.049,-0.935,30.257,-3.699,-26.745,-32.112,-3.771,-28.862,-0.077,0.061,0.973,-0.094,0.066,0.971,,14,walk
04-54-14,2.201,0,0.425,0.402,2.840,3.217,0.509,0.734,0.312,0.613,0.001,-0.005,-0.025,-0.052,-0.305,0.928,-42.228,3.462,42.417,0.515,-0.610,-0.145,30.844,-5.215,-27.490,-30.947,-5.253,-29.442,-0.006,-0.268,0.701,0.093,-0.287,0.731,,14,walk
04-54-15,0.536,0,0.822,0.689,4.253,4.493,0.575,0.792,0.493,0.838,-0.002,-0.005,-0.028,-0.062,-0.320,0.940,-47.903,3.934,48.305,0.675,-0.707,-0.161,30.853,-5.170,-27.117,-31.034,-5.280,-29.357,-0.000,-0.320,0.943,0.120,-0.331,0.931,,14,walk
04-54-16,3.328,0,0.965,0.956,4.022,4.235,0.531,0.626,0.477,0.647,0.004,-0.003,-0.028,-0.159,0.185,0.946,-47.826,3.959,48.443,0.916,0.002,-0.059,31.334,-3.060,-27.415,-30.795,-2.937,-29.526,0.153,0.193,0.945,0.159,0.190,0.946,,14,walk
04-54-17,2.275,0,1.000,1.000,3.923,4.088,0.562,0.637,0.515,0.658,0.010,-0.003,-0.027,-0.075,0.141,0.983,-47.887,4.007,48.446,0.898,0.413,-0.034,30.899,-3.446,-26.464,-31.436,-3.179,-28.822,0.064,0.143,0.983,0.078,0.129,0.985,,14,walk
04-54-18,4.333,0,1.000,1.000,4.255,4.446,0.530,0.629,0.492,0.643,0.006,-0.003,-0.028,-0.136,0.197,0.970,-47.895,4.010,48.451,0.821,0.568,-0.006,31.428,-3.453,-26.649,-31.071,-3.070,-28.922,0.140,0.200,0.969,0.133,0.197,0.971,,14,walk
04-54-19,1.081,0,0.972,0.972,4.330,4.498,0.573,0.636,0.511,0.655,0.008,-0.003,-0.027,-0.035,0.103,0.979,-47.908,4.013,48.454,0.854,0.439,-0.175,30.773,-3.297,-26.332,-31.380,-2.966,-28.683,0.025,0.116,0.976,0.088,0.105,0.979,,14,walk
04-54-20,2.991,0,1.000,1.000,4.250,4.426,0.568,0.577,0.524,0.591,-0.003,-0.002,-0.028,-0.055,0.318,0.946,-47.955,4.024,48.385,0.740,0.671,-0.009,30.757,-2.575,-26.460,-31.571,-2.162,-29.023,0.055,0.323,0.944,0.055,0.314,0.947,,14,walk
04-54-21,2.561,0,0.972,0.968,4.375,4.577,0.553,0.628,0.497,0.643,-0.010,-0.003,-0.028,-0.117,0.177,0.970,-47.974,4.020,48.383,0.818,0.544,-0.042,31.056,-3.313,-26.365,-31.145,-2.915,-28.868,0.080,0.167,0.972,0.122,0.171,0.971,,14,walk
04-54-22,0.748,0,1.000,1.000,4.382,4.662,0.574,0.681,0.508,0.704,-0.005,-0.004,-0.028,-0.078,-0.013,0.990,-47.880,4.009,48.479,0.886,0.281,-0.347,30.750,-3.859,-26.508,-31.400,-3.702,-28.686,0.023,-0.019,0.991,0.108,-0.012,0.987,,14,walk
04-54-23,1.493,0,0.995,0.995,4.375,4.670,0.547,0.697,0.492,0.725,-0.004,-0.004,-0.028,-0.151,-0.063,0.977,-47.881,3.991,48.460,0.931,-0.052,-0.234,31.057,-4.253,-25.916,-31.240,-3.968,-28.759,0.108,-0.062,0.977,0.162,-0.065,0.977,,14,walk
04-54-24,1.752,0,1.000,1.000,4.220,4.534,0.510,0.696,0.473,0.722,0.014,-0.004,-0.027,-0.209,-0.045,0.976,-47.832,3.965,48.462,0.976,-0.216,-0.021,31.613,-4.244,-26.246,-30.921,-3.860,-29.079,0.215,-0.041,0.975,0.200,-0.056,0.978,,14,walk
04-54-25,1.576,0,0.862,0.852,4.427,4.551,0.533,0.743,0.488,0.773,0.013,-0.005,-0.027,-0.155,-0.129,0.943,-47.870,3.926,48.552,0.761,-0.523,0.185,31.217,-4.984,-26.476,-31.049,-4.747,-29.205,0.154,-0.125,0.939,0.128,-0.109,0.909,,14,walk
04-54-26,1.720,0,0.901,0.862,4.253,4.120,0.595,0.742,0.398,0.624,-0.006,-0.005,-0.028,-0.010,-0.103,0.954,-47.796,3.930,48.687,0.782,-0.518,-0.182,30.469,-4.957,-27.083,-31.327,-4.956,-29.075,-0.034,-0.095,0.956,0.038,-0.072,0.884,,14,walk
04-54-27,2.095,0,0.997,0.993,4.220,4.606,0.522,0.686,0.478,0.708,0.025,-0.004,-0.028,-0.170,0.025,0.979,-47.814,3.962,48.744,0.960,-0.236,-0.058,31.501,-3.907,-27.710,-30.824,-3.853,-29.560,0.171,0.030,0.980,0.163,0.040,0.982,,14,walk
04-54-28,3.786,0,1.000,1.000,4.322,4.743,0.533,0.701,0.496,0.728,-0.006,-0.004,-0.028,-0.131,-0.045,0.989,-47.862,3.975,48.774,0.980,-0.182,-0.045,31.358,-4.137,-27.023,-31.146,-3.993,-29.382,0.136,-0.047,0.989,0.128,-0.045,0.990,,14,walk
04-54-29,4.132,0,1.000,1.000,4.228,4.655,0.528,0.692,0.492,0.716,0.003,-0.004,-0.028,-0.136,-0.017,0.990,-47.900,3.984,48.763,0.998,-0.036,-0.036,31.479,-4.060,-26.947,-31.073,-3.790,-29.430,0.140,-0.016,0.990,0.131,-0.021,0.991,,14,walk
04-54-30,4.002,0,1.000,1.000,4.317,4.689,0.530,0.687,0.496,0.711,0.003,-0.004,-0.028,-0.129,-0.014,0.991,-47.904,3.988,48.775,0.998,0.031,-0.040,31.459,-3.806,-27.399,-31.164,-3.780,-29.169,0.131,-0.013,0.991,0.129,-0.011,0.991,,14,walk
04-54-31,2.580,0,0.992,0.973,4.373,4.712,0.554,0.682,0.507,0.705,-0.000,-0.004,-0.028,-0.084,-0.008,0.991,-47.901,3.992,48.791,0.988,0.053,-0.082,31.104,-3.764,-27.204,-31.283,-3.603,-29.404,0.069,-0.002,0.990,0.097,0.001,0.991,,14,walk
04-54-32,3.453,0,1.000,1.000,4.394,4.701,0.522,0.646,0.485,0.663,0.024,-0.003,-0.028,-0.151,0.116,0.981,-47.874,3.998,48.761,0.977,0.206,-0.047,31.590,-3.332,-27.275,-30.915,-3.060,-29.425,0.152,0.116,0.981,0.144,0.118,0.982,,14,walk
04-54-33,5.168,0,0.937,0.942,4.152,4.475,0.531,0.666,0.496,0.689,0.004,-0.003,-0.027,-0.121,0.045,0.986,-46.097,3.849,46.985,0.945,0.120,0.005,31.458,-3.470,-27.316,-31.133,-3.330,-29.434,0.121,0.043,0.949,0.118,0.042,0.950,,14,walk
04-54-34,3.597,0,1.000,1.000,4.133,4.445,0.526,0.660,0.490,0.682,0.017,-0.003,-0.028,-0.145,0.050,0.988,-47.841,3.998,48.772,0.993,0.105,-0.043,31.527,-3.439,-27.047,-31.082,-3.364,-29.142,0.146,0.048,0.988,0.143,0.058,0.988,,14,walk
