Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-55-09,0,0.025,0.077,0.012,0.996,2.776,8.916,1.579,14,walk
04-55-10,0,0.033,0.073,0.027,0.996,3.512,8.462,3.312,14,walk
04-55-11,0,0.024,0.093,0.020,0.995,2.527,10.699,2.490,14,walk
04-55-12,0,0.022,0.093,0.016,0.995,2.288,10.704,2.112,14,walk
04-55-13,0,-0.005,0.089,0.011,0.996,269.267,10.263,1.192,14,walk
04-55-14,0,-0.016,0.073,0.018,0.997,345.115,8.385,14.736,14,walk
04-55-15,0,-0.045,0.081,0.012,0.996,354.743,9.235,39.510,14,walk
04-55-16,0,-0.074,0.088,0.011,0.993,351.431,10.066,77.599,14,walk
04-55-17,0,-0.049,0.108,0.020,0.992,354.131,12.292,1.657,14,walk
04-55-18,0,-0.043,0.089,0.014,0.995,354.987,10.194,13.970,14,walk
04-55-19,0,-0.065,0.102,0.004,0.993,352.587,11.724,205.449,14,walk
04-55-20,0,-0.082,0.105,0.011,0.991,350.524,12.121,160.242,14,walk
04-55-21,0,-0.105,0.120,-0.022,0.987,348.385,14.284,355.935,14,walk
04-55-22,0,-0.112,0.092,-0.007,0.988,347.286,10.918,271.062,14,walk
04-55-23,0,0.029,0.592,-0.102,0.733,49.556,77.247,329.570,14,walk
04-55-24,0,0.200,0.765,-0.362,0.453,49.370,117.099,216.051,14,walk
04-55-25,0,-0.059,0.910,-0.380,-0.127,45.367,195.715,195.827,14,walk
04-55-26,0,-0.059,0.912,-0.386,-0.123,45.992,194.898,358.979,14,walk
04-55-27,0,-0.051,0.975,-0.192,-0.077,22.579,188.148,355.762,14,walk
04-55-28,0,-0.034,0.973,-0.206,-0.083,24.114,189.386,358.094,14,walk
04-55-29,0,-0.020,0.996,-0.051,-0.062,5.961,187.027,358.060,14,walk
04-55-30,0,-0.017,0.997,-0.037,-0.070,4.388,187.924,358.297,14,walk
04-55-31,0,-0.098,0.889,-0.358,-0.136,44.410,194.591,354.197,14,walk
04-55-32,0,-0.142,0.869,-0.401,-0.202,50.459,201.946,351.768,14,walk
04-55-33,0,-0.012,0.993,-0.078,-0.069,9.135,187.840,200.939,14,walk
04-55-34,0,0.001,0.997,-0.023,-0.065,2.603,187.495,138.666,14,walk
04-55-35,0,0.012,0.998,-0.011,-0.051,1.202,185.875,1.427,14,walk
04-55-36,0,0.001,0.998,0.002,-0.065,258.996,187.470,201.721,14,walk
04-55-37,0,0.009,0.997,-0.002,-0.073,110.912,188.332,1.064,14,walk
04-55-38,0,0.007,0.996,0.045,-0.071,311.591,188.208,86.773,14,walk
