Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-24-34,1,-0.031,0.961,0.219,0.160,334.426,160.957,132.710,8,room
04-24-35,1,-0.039,0.939,0.300,0.162,324.759,159.937,1.670,8,room
04-24-36,1,-0.021,0.968,0.208,0.131,335.888,164.323,60.941,8,room
04-24-37,1,-0.032,0.962,0.223,0.149,333.948,162.173,180.444,8,room
04-24-38,1,-0.017,0.950,0.265,0.165,329.346,159.343,3.636,8,room
04-24-39,1,-0.007,0.988,0.066,0.119,292.382,166.103,168.300,8,room
04-24-40,1,0.004,0.991,-0.029,0.129,3.387,165.202,144.074,8,room
04-24-41,1,0.016,0.991,-0.035,0.130,4.203,165.093,1.344,8,room
04-24-42,1,0.006,0.991,-0.036,0.126,4.188,165.575,144.149,8,room
04-24-43,1,-0.002,0.988,-0.027,0.155,2.988,162.175,359.255,8,room
04-24-44,1,0.003,0.987,-0.022,0.160,2.575,161.628,251.948,8,room
04-24-45,1,-0.008,0.986,0.022,0.159,254.500,161.715,179.386,8,room
04-24-46,1,-0.035,0.965,0.197,0.167,336.969,160.396,155.912,8,room
04-24-47,1,-0.026,0.964,0.219,0.150,334.562,162.020,1.015,8,room
04-24-48,1,-0.008,0.957,0.242,0.160,332.279,160.080,3.943,8,room
04-24-49,1,-0.005,0.936,0.309,0.167,324.525,157.723,6.538,8,room
04-24-50,1,-0.003,0.948,0.290,0.130,326.582,162.896,4.812,8,room
04-24-51,1,-0.007,0.955,0.259,0.142,330.192,161.932,4.067,8,room
04-24-52,1,0.012,0.946,0.288,0.150,327.228,159.790,7.516,8,room
04-24-53,1,-0.054,0.975,-0.030,0.017,154.206,176.962,296.231,8,room
04-24-54,1,0.021,0.585,-0.218,0.341,34.064,95.880,340.971,8,room
04-24-55,1,-0.272,-0.081,0.191,-0.919,33.407,159.956,338.759,8,room
04-24-56,1,-0.055,0.292,0.039,-0.116,12.109,151.851,163.499,8,room
04-24-57,1,-0.032,0.815,-0.050,0.554,3.164,111.513,353.757,8,room
04-24-58,1,-0.053,0.962,-0.034,-0.192,4.971,202.257,354.468,8,room
04-24-59,1,-0.060,0.882,-0.012,-0.467,4.413,235.549,354.561,8,room
04-25-00,1,-0.091,0.936,-0.094,-0.216,12.774,205.117,352.500,8,room
04-25-01,1,-0.029,0.979,-0.093,0.177,9.934,159.088,354.803,8,room
04-25-02,1,-0.004,0.982,-0.047,0.181,5.211,159.076,358.603,8,room
04-25-03,1,0.006,0.982,-0.043,0.181,4.954,159.077,223.260,8,room
