Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
04-39-20,1.600,2,1.000,1.000,2.884,2.732,0.556,0.604,0.614,0.643,-0.009,-0.002,-0.027,0.222,-0.055,0.970,680.259,2.003,524.876,-0.994,-0.015,-0.082,31.892,-0.718,-27.337,-32.892,-1.997,-26.272,-0.223,-0.072,0.969,-0.228,-0.050,0.970,,8,sea
04-39-21,2.362,2,0.977,0.987,2.816,2.738,0.492,0.631,0.550,0.662,-0.007,-0.002,-0.026,0.066,-0.143,0.981,672.408,2.009,524.052,-0.967,-0.042,-0.193,33.168,-1.671,-25.893,-31.674,-2.516,-25.412,-0.068,-0.145,0.979,-0.064,-0.135,0.983,,8,sea
04-39-22,2.017,2,0.995,0.998,2.930,2.784,0.542,0.607,0.600,0.641,0.002,-0.002,-0.026,0.204,-0.070,0.971,664.259,2.014,522.245,-0.989,-0.033,-0.080,32.209,-1.131,-26.275,-32.607,-2.148,-25.318,-0.207,-0.065,0.971,-0.202,-0.072,0.971,,8,sea
04-39-23,2.396,2,0.967,0.951,2.954,2.706,0.542,0.619,0.602,0.657,-0.008,-0.002,-0.026,0.205,-0.079,0.971,655.318,2.016,520.822,-0.997,-0.028,-0.019,32.210,-1.435,-26.329,-32.678,-2.593,-25.166,-0.206,-0.078,0.972,-0.201,-0.087,0.971,,8,sea
04-39-24,2.301,2,0.990,0.991,2.910,2.753,0.507,0.622,0.566,0.654,0.004,-0.002,-0.026,0.110,-0.069,0.984,646.242,2.011,519.975,-0.975,-0.025,-0.162,32.908,-1.467,-26.593,-31.975,-2.431,-25.828,-0.117,-0.077,0.982,-0.112,-0.066,0.985,,8,sea
04-39-25,1.536,2,1.000,0.999,2.956,2.748,0.509,0.619,0.571,0.649,-0.007,-0.002,-0.026,0.118,-0.065,0.989,637.093,2.022,519.019,-0.999,-0.022,-0.009,32.876,-1.479,-26.210,-32.106,-2.496,-25.240,-0.123,-0.076,0.988,-0.112,-0.053,0.991,,8,sea
04-39-26,2.858,2,0.996,0.993,2.906,2.742,0.491,0.617,0.551,0.646,-0.007,-0.002,-0.025,0.070,-0.063,0.994,627.211,2.023,518.743,-0.998,-0.026,0.017,33.243,-1.434,-26.278,-31.708,-2.487,-24.989,-0.078,-0.070,0.993,-0.065,-0.057,0.994,,8,sea
04-39-27,1.834,2,0.980,0.987,2.827,2.646,0.502,0.611,0.562,0.646,-0.005,-0.002,-0.026,0.105,-0.062,0.991,617.013,2.023,519.181,-0.997,-0.033,0.055,33.031,-1.359,-26.223,-31.914,-2.397,-25.053,-0.111,-0.050,0.991,-0.099,-0.072,0.991,,8,sea
04-39-28,1.756,2,0.973,0.977,2.909,2.666,0.496,0.617,0.556,0.647,-0.002,-0.002,-0.026,0.083,-0.065,0.994,606.587,2.021,519.837,-0.999,-0.037,0.007,33.139,-1.464,-26.181,-31.812,-2.492,-24.998,-0.093,-0.075,0.992,-0.077,-0.065,0.995,,8,sea
04-39-29,1.464,2,0.990,0.991,2.854,2.639,0.511,0.624,0.572,0.656,-0.001,-0.002,-0.026,0.124,-0.098,0.987,596.194,2.022,520.398,-0.996,-0.078,0.020,32.850,-1.520,-26.228,-32.122,-2.627,-25.013,-0.132,-0.103,0.986,-0.116,-0.090,0.989,,8,sea
