Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-37-44,2,-0.047,-0.498,-0.085,-0.856,154.300,60.438,11.146,8,sea
04-37-45,2,-0.016,-0.486,-0.063,-0.869,358.210,58.329,7.197,8,sea
04-37-46,2,-0.025,-0.539,-0.069,-0.839,358.144,65.269,8.183,8,sea
04-37-47,2,-0.037,-0.442,-0.091,-0.890,321.948,52.745,11.198,8,sea
04-37-48,2,-0.029,-0.368,-0.089,-0.924,311.399,43.364,10.691,8,sea
04-37-49,2,-0.017,-0.361,-0.079,-0.928,358.620,42.434,9.180,8,sea
04-37-50,2,-0.032,-0.263,-0.098,-0.958,36.650,30.795,11.884,8,sea
04-37-51,2,-0.026,-0.464,-0.041,-0.882,48.416,55.542,5.534,8,sea
04-37-52,2,-0.041,-0.604,-0.050,-0.794,0.279,74.570,7.427,8,sea
04-37-53,2,-0.020,-0.802,-0.018,-0.585,203.911,107.785,3.143,8,sea
04-37-54,2,-0.040,-0.905,-0.013,-0.423,0.597,129.909,4.806,8,sea
04-37-55,2,-0.088,-0.939,-0.002,-0.332,3.134,141.359,9.607,8,sea
04-37-56,2,-0.090,-0.954,-0.002,-0.285,2.822,147.027,9.994,8,sea
04-37-57,2,-0.074,-0.961,0.021,-0.266,4.595,149.382,7.534,8,sea
04-37-58,2,-0.053,-0.949,0.017,-0.310,3.735,144.039,5.189,8,sea
04-37-59,2,-0.038,-0.981,0.024,-0.180,3.505,159.344,3.793,8,sea
04-38-00,2,-0.063,-0.994,0.022,-0.075,3.097,171.550,6.973,8,sea
04-38-01,2,-0.103,-0.976,0.012,-0.187,3.585,158.730,11.412,8,sea
04-38-02,2,-0.120,-0.937,-0.007,-0.324,3.694,142.339,13.288,8,sea
04-38-03,2,-0.096,-0.921,-0.008,-0.377,3.311,135.841,10.572,8,sea
04-38-04,2,-0.096,-0.906,-0.015,-0.413,3.046,131.286,10.777,8,sea
04-38-05,2,-0.090,-0.901,-0.015,-0.425,2.829,129.771,10.082,8,sea
04-38-06,2,-0.083,-0.888,-0.025,-0.451,1.697,126.360,9.833,8,sea
04-38-07,2,-0.067,-0.902,-0.019,-0.426,1.259,129.483,7.872,8,sea
04-38-08,2,-0.074,-0.901,-0.022,-0.426,1.350,129.485,8.713,8,sea
04-38-09,2,-0.075,-0.897,-0.024,-0.434,1.214,128.432,8.934,8,sea
04-38-10,2,-0.071,-0.900,-0.020,-0.429,1.395,129.127,8.325,8,sea
04-38-11,2,-0.076,-0.896,-0.022,-0.438,1.492,128.029,8.917,8,sea
04-38-12,2,-0.077,-0.888,-0.024,-0.452,1.522,126.177,9.157,8,sea
04-38-13,2,-0.076,-0.875,-0.026,-0.477,1.512,122.985,9.042,8,sea
