Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
03-50-58,1.341,1,0.409,0.172,2.678,2.766,0.599,0.482,0.570,0.387,0.005,0.005,-0.027,0.149,-0.183,0.957,-48.442,3.598,47.025,-0.185,-0.093,0.965,31.227,3.168,-26.146,-32.630,6.714,-27.343,-0.159,-0.187,0.955,-0.129,-0.178,0.962,,8,walk
03-50-59,0.464,1,0.201,0.098,1.954,2.891,0.520,0.460,0.582,0.472,-0.013,0.004,-0.028,0.165,-0.324,0.921,-48.470,3.554,47.439,0.132,-0.760,0.488,30.493,1.774,-26.796,-32.815,4.934,-28.117,-0.215,-0.374,0.760,-0.159,-0.276,0.941,,8,walk
03-51-00,0.430,1,0.660,0.399,2.459,3.571,0.543,0.406,0.642,0.436,-0.010,0.004,-0.028,0.264,-0.140,0.937,-48.214,3.936,47.426,0.721,-0.639,-0.147,29.537,2.225,-26.790,-34.065,5.232,-28.636,-0.253,-0.149,0.800,-0.248,-0.114,0.952,,8,walk
03-51-01,1.300,1,0.823,0.604,3.332,3.764,0.589,0.462,0.560,0.369,-0.006,0.005,-0.027,0.108,-0.050,0.988,-48.208,4.002,47.310,0.791,-0.578,-0.151,31.380,3.239,-26.151,-32.501,6.548,-27.541,-0.127,-0.053,0.983,-0.091,-0.054,0.991,,8,walk
03-51-02,0.919,1,0.426,0.100,3.277,3.281,0.609,0.514,0.576,0.439,-0.004,0.004,-0.027,0.133,-0.205,0.968,-47.836,4.018,47.333,0.731,-0.657,-0.170,30.849,2.317,-26.380,-32.841,5.514,-27.835,-0.148,-0.198,0.967,-0.122,-0.227,0.965,,8,walk
03-51-03,0.532,1,0.339,0.100,2.872,3.330,0.640,0.531,0.588,0.456,-0.010,0.004,-0.027,0.165,-0.239,0.955,-47.426,3.902,47.222,0.495,-0.861,-0.092,30.305,2.041,-26.416,-33.079,5.213,-28.078,-0.206,-0.185,0.874,-0.141,-0.252,0.957,,8,walk
03-51-04,0.475,1,0.811,0.476,3.465,3.864,0.641,0.451,0.606,0.367,-0.000,0.005,-0.027,0.212,-0.005,0.973,-47.274,3.853,47.177,0.649,-0.745,-0.122,30.265,3.303,-26.211,-33.349,6.607,-27.889,-0.241,0.018,0.967,-0.184,-0.034,0.977,,8,walk
03-51-05,1.082,1,0.592,0.313,2.991,3.625,0.563,0.527,0.516,0.433,-0.011,0.004,-0.028,0.054,-0.148,0.970,-47.072,3.855,47.176,0.386,-0.802,0.267,31.922,1.971,-26.853,-31.479,5.433,-28.105,-0.087,-0.117,0.888,-0.038,-0.170,0.971,,8,walk
03-51-06,0.452,1,0.656,0.184,3.312,3.384,0.583,0.513,0.521,0.423,-0.013,0.005,-0.028,0.066,-0.194,0.977,-47.641,4.016,47.324,0.000,-0.617,0.766,31.535,2.448,-26.982,-31.614,5.923,-28.194,-0.119,-0.185,0.967,-0.042,-0.199,0.978,,8,walk
03-51-07,2.119,1,0.875,0.767,3.055,3.174,0.524,0.384,0.539,0.324,0.013,0.005,-0.026,0.085,0.005,0.993,-47.856,4.057,47.288,-0.049,-0.218,0.969,31.718,3.901,-26.178,-31.979,7.331,-26.218,-0.101,0.015,0.960,-0.073,-0.001,0.994,,8,walk
