Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-16-39,2.046,0,0.955,0.968,3.066,2.758,0.607,0.522,0.595,0.510,0.014,0.005,-0.038,0.254,-0.135,0.956,-49.197,3.885,45.005,0.073,-0.152,-0.983,31.973,4.982,-38.034,-33.373,5.647,-39.966,-0.260,-0.133,0.954,-0.212,-0.135,0.965,,9,walk
12-16-40,0.627,0,0.990,0.986,3.073,2.633,0.621,0.507,0.614,0.499,0.002,0.006,-0.039,0.289,-0.101,0.952,-49.176,3.881,44.961,0.056,-0.161,-0.985,31.801,5.252,-38.007,-33.735,6.187,-41.190,-0.329,-0.091,0.939,-0.239,-0.111,0.964,,9,walk
12-16-41,0.626,0,0.879,0.895,2.992,2.366,0.495,0.392,0.431,0.325,0.000,0.005,-0.036,0.267,-0.085,0.956,-45.400,3.583,41.499,0.042,-0.138,-0.834,31.891,5.171,-37.877,-33.711,6.259,-41.402,-0.301,-0.079,0.868,-0.220,-0.089,0.852,,9,walk
12-16-42,0.769,0,0.534,0.544,2.839,2.317,0.476,0.552,0.509,0.615,0.016,0.003,-0.035,-0.038,-0.413,0.886,-45.273,3.538,41.330,0.253,-0.693,-0.434,32.886,3.454,-37.770,-31.797,4.583,-40.927,0.014,-0.377,0.782,0.010,-0.346,0.756,,9,walk
12-16-43,0.575,0,0.943,0.930,2.707,2.363,0.618,0.512,0.545,0.456,0.002,0.005,-0.037,0.263,-0.082,0.954,-47.381,3.730,43.270,0.068,-0.196,-0.896,31.873,4.824,-37.138,-33.468,5.972,-41.024,-0.286,-0.051,0.835,-0.207,-0.085,0.894,,9,walk
12-16-44,0.357,0,1.000,1.000,3.317,2.781,0.622,0.505,0.611,0.497,-0.009,0.005,-0.039,0.284,-0.073,0.954,-49.172,3.880,44.933,0.073,-0.151,-0.983,31.794,4.037,-33.857,-33.697,6.230,-41.386,-0.370,-0.034,0.925,-0.230,-0.097,0.967,,9,walk
12-16-45,0.496,0,0.751,0.759,3.164,2.668,0.573,0.540,0.489,0.480,0.004,0.004,-0.035,0.124,-0.187,0.950,-47.211,3.714,43.132,0.225,-0.356,-0.771,32.530,3.237,-32.921,-32.601,5.563,-40.380,-0.167,-0.158,0.864,-0.070,-0.193,0.878,,9,walk
12-16-46,0.359,0,1.000,1.000,3.441,2.761,0.629,0.497,0.622,0.487,-0.012,0.006,-0.038,0.309,-0.042,0.947,-49.176,3.883,44.975,0.069,-0.045,-0.992,31.652,3.972,-33.264,-33.806,6.340,-41.178,-0.392,0.008,0.916,-0.274,-0.061,0.957,,9,walk
12-16-47,0.355,0,1.000,1.000,3.625,2.950,0.626,0.494,0.622,0.485,-0.003,0.005,-0.037,0.328,-0.035,0.944,-49.220,3.891,44.964,0.025,0.068,-0.997,31.724,4.046,-33.110,-33.833,6.392,-41.084,-0.390,0.001,0.920,-0.268,-0.067,0.961,,9,walk
12-16-48,0.356,0,1.000,1.000,3.744,3.104,0.623,0.483,0.625,0.471,-0.002,0.005,-0.037,0.327,0.012,0.944,-49.218,3.892,44.970,0.028,0.119,-0.992,31.739,4.192,-33.114,-33.855,6.621,-41.094,-0.373,0.052,0.925,-0.282,-0.028,0.958,,9,walk
