Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-15-02,3.822,1,0.976,0.990,3.393,3.246,0.505,0.448,0.528,0.474,-0.005,0.005,-0.027,0.037,-0.399,0.915,-0.011,42.919,71.009,0.049,0.412,0.907,32.528,5.729,-26.929,-30.723,4.947,-26.797,-0.040,-0.396,0.917,-0.036,-0.402,0.914,,1,roller
12-15-03,2.305,1,0.946,0.963,3.217,3.033,0.488,0.467,0.505,0.495,-0.006,0.005,-0.027,-0.009,-0.459,0.888,-0.008,47.326,75.992,0.007,0.077,0.987,32.805,5.532,-27.049,-30.343,4.712,-26.881,0.002,-0.452,0.892,0.012,-0.464,0.885,,1,roller
12-15-04,2.820,1,0.954,0.973,3.273,3.072,0.486,0.463,0.504,0.493,-0.005,0.005,-0.027,-0.014,-0.464,0.885,-0.012,50.095,82.679,0.007,-0.449,0.880,32.819,5.689,-26.993,-30.312,4.784,-26.835,0.011,-0.456,0.889,0.016,-0.468,0.883,,1,roller
12-15-05,2.297,1,0.963,0.974,3.959,3.759,0.486,0.437,0.508,0.466,-0.006,0.005,-0.027,-0.013,-0.386,0.922,-0.017,47.910,91.684,-0.002,-0.872,0.421,32.794,5.927,-26.877,-30.371,5.062,-26.746,0.011,-0.379,0.925,0.010,-0.390,0.920,,1,roller
12-15-06,3.027,1,0.994,0.996,4.432,4.145,0.483,0.355,0.507,0.382,-0.003,0.006,-0.026,-0.015,-0.159,0.980,-0.014,37.045,97.419,-0.002,-0.985,-0.110,32.877,6.910,-26.290,-30.358,6.079,-26.117,0.014,-0.151,0.981,0.015,-0.161,0.980,,1,roller
12-15-07,4.573,1,0.986,1.000,4.478,4.167,0.483,0.300,0.507,0.327,-0.015,0.007,-0.025,-0.012,0.008,0.998,-0.026,19.469,100.505,0.005,-0.881,0.369,32.889,7.458,-25.581,-30.348,6.520,-25.031,0.013,0.010,0.998,0.011,0.007,0.999,,1,roller
12-15-08,3.870,1,0.986,0.999,4.079,3.762,0.475,0.314,0.499,0.339,-0.018,0.007,-0.025,-0.035,-0.025,0.996,-0.105,7.199,118.149,-0.036,0.205,0.900,33.032,7.301,-25.769,-30.269,6.418,-25.320,0.030,-0.029,0.996,0.037,-0.025,0.996,,1,roller
12-15-09,4.976,1,0.981,0.999,3.838,3.517,0.489,0.306,0.511,0.332,-0.008,0.007,-0.025,-0.001,-0.004,0.999,-1.094,20.036,131.193,-0.033,0.837,-0.317,32.818,7.350,-25.464,-30.425,6.395,-24.842,-0.001,-0.006,0.999,0.003,-0.002,0.999,,1,roller
12-15-10,5.198,1,0.921,0.956,4.196,3.838,0.490,0.287,0.510,0.313,-0.007,0.007,-0.025,0.001,0.052,0.998,-1.979,30.240,120.887,-0.037,-0.191,-0.924,32.791,7.509,-25.169,-30.397,6.617,-24.710,-0.003,0.051,0.998,0.001,0.054,0.997,,1,roller
12-15-11,4.051,1,0.852,0.807,4.608,4.250,0.480,0.280,0.500,0.307,0.001,0.007,-0.025,-0.024,0.076,0.993,-2.766,23.737,109.559,-0.052,-0.900,-0.112,32.920,7.602,-25.348,-30.214,6.731,-24.909,0.022,0.078,0.992,0.025,0.073,0.993,,1,roller
12-15-12,4.060,1,0.873,0.825,4.512,4.219,0.482,0.304,0.509,0.331,-0.002,0.007,-0.025,-0.010,0.019,0.996,-3.786,8.760,114.846,-0.040,-0.174,0.901,32.934,7.277,-25.480,-30.403,6.365,-24.883,0.007,0.017,0.996,0.013,0.010,0.996,,1,roller
12-15-13,5.498,1,0.992,0.969,3.624,3.277,0.445,0.359,0.468,0.384,0.009,0.006,-0.026,-0.113,-0.158,0.979,-8.356,11.949,134.554,-0.537,0.463,0.621,33.493,6.734,-25.923,-29.786,5.992,-26.137,0.112,-0.158,0.979,0.118,-0.158,0.978,,1,roller
12-15-14,4.761,1,0.991,0.977,3.974,3.613,0.489,0.351,0.513,0.374,-0.003,0.006,-0.026,-0.006,-0.131,0.989,-24.029,19.865,143.897,-0.935,0.176,0.138,32.764,6.862,-26.147,-30.494,6.048,-25.791,0.003,-0.130,0.989,0.003,-0.129,0.989,,1,roller
12-15-15,2.751,1,1.000,1.000,4.252,3.900,0.516,0.357,0.543,0.379,-0.017,0.006,-0.025,0.077,-0.135,0.987,-41.504,17.907,149.049,-0.742,-0.555,0.287,32.315,6.767,-26.275,-30.947,5.672,-24.695,-0.064,-0.140,0.987,-0.082,-0.133,0.987,,1,roller
12-15-16,2.250,1,1.000,0.984,4.197,3.789,0.519,0.335,0.546,0.354,-0.024,0.006,-0.025,0.079,-0.065,0.992,-52.765,8.431,162.243,-0.054,-0.248,0.904,32.264,6.994,-25.969,-31.042,6.056,-24.831,-0.071,-0.076,0.992,-0.079,-0.062,0.992,,1,roller
12-15-17,3.143,1,1.000,1.000,3.672,3.364,0.499,0.336,0.526,0.359,-0.001,0.006,-0.025,0.026,-0.078,0.994,-54.019,12.520,182.626,0.045,0.751,0.598,32.616,6.986,-25.928,-30.725,5.928,-24.643,-0.021,-0.082,0.994,-0.029,-0.076,0.994,,1,roller
12-15-18,2.714,1,1.000,0.956,3.885,3.684,0.573,0.426,0.596,0.453,-0.006,0.005,-0.026,0.213,-0.339,0.915,-50.407,29.095,189.571,0.752,0.379,0.262,31.411,6.043,-26.791,-31.758,4.795,-25.067,-0.205,-0.338,0.916,-0.221,-0.342,0.912,,1,roller
12-15-19,4.173,1,1.000,0.970,3.891,3.699,0.566,0.386,0.588,0.412,-0.011,0.006,-0.026,0.193,-0.237,0.944,-38.237,30.212,189.691,0.348,-0.871,0.088,31.512,6.503,-26.431,-31.665,5.361,-24.985,-0.185,-0.231,0.947,-0.197,-0.233,0.944,,1,roller
12-15-20,3.499,1,0.996,0.994,4.280,3.960,0.498,0.332,0.526,0.358,-0.014,0.006,-0.025,0.030,-0.079,0.990,-34.037,16.718,186.178,-0.072,-0.781,-0.503,32.611,7.061,-25.870,-30.708,6.066,-24.957,-0.019,-0.077,0.991,-0.029,-0.081,0.990,,1,roller
12-15-21,3.143,1,0.981,0.992,4.219,3.843,0.468,0.287,0.495,0.314,-0.015,0.007,-0.025,-0.054,0.045,0.995,-33.971,6.850,168.723,0.010,0.176,-0.946,33.109,7.561,-25.357,-30.241,6.673,-24.953,0.055,0.051,0.995,0.055,0.046,0.995,,1,roller
