Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-13-26,3,-0.043,-0.049,0.028,0.997,355.242,354.188,3.462,1,roller
12-13-27,3,-0.034,-0.048,0.028,0.998,356.220,354.421,3.370,1,roller
12-13-28,3,-0.032,-0.165,0.014,0.985,356.584,340.878,2.156,1,roller
12-13-29,3,-0.049,-0.154,0.009,0.984,354.660,342.096,1.779,1,roller
12-13-30,3,-0.044,-0.215,0.023,0.968,355.647,334.895,3.550,1,roller
12-13-31,3,-0.027,-0.005,0.009,0.548,355.238,358.942,1.882,1,roller
12-13-32,3,0.028,0.007,-0.010,-1.000,356.805,359.216,1.152,1,roller
12-13-33,3,0.023,0.009,-0.007,-1.000,357.351,358.973,0.809,1,roller
12-13-34,3,0.066,0.048,-0.002,-0.996,352.446,354.393,0.646,1,roller
12-13-35,3,0.155,0.029,0.013,-0.987,342.089,356.871,293.520,1,roller
12-13-36,3,0.158,-0.008,0.008,-0.987,341.835,22.880,358.941,1,roller
12-13-37,3,0.133,-0.010,0.006,-0.991,344.664,1.254,359.114,1,roller
12-13-38,3,0.089,-0.010,0.001,-0.996,349.826,1.125,250.652,1,roller
12-13-39,3,0.057,-0.003,-0.006,-0.998,353.501,153.066,98.854,1,roller
12-13-40,3,-0.017,0.079,-0.005,-0.993,157.897,350.830,144.134,1,roller
12-13-41,3,-0.134,0.079,-0.008,-0.982,15.393,211.640,162.879,1,roller
12-13-42,3,-0.199,-0.049,-0.002,-0.978,22.945,6.038,85.382,1,roller
12-13-43,3,-0.054,-0.025,0.006,-0.989,152.480,2.889,190.871,1,roller
12-13-44,3,0.241,-0.011,-0.012,-0.969,332.022,0.959,32.054,1,roller
12-13-45,3,0.408,-0.020,-0.005,-0.911,311.798,2.727,239.446,1,roller
12-13-46,3,0.444,-0.001,-0.020,-0.896,307.373,255.727,54.628,1,roller
12-13-47,3,0.443,-0.005,-0.017,-0.896,307.412,271.876,2.490,1,roller
12-13-48,3,0.464,-0.006,-0.010,-0.885,304.606,170.161,71.197,1,roller
12-13-49,3,0.505,-0.005,-0.009,-0.863,299.322,272.316,40.189,1,roller
12-13-50,3,0.492,-0.005,-0.011,-0.871,301.056,179.754,1.556,1,roller
12-13-51,3,0.480,-0.010,-0.005,-0.877,302.567,1.355,189.382,1,roller
12-13-52,3,0.471,-0.009,-0.004,-0.882,303.819,1.201,204.167,1,roller
12-13-53,3,0.432,-0.010,-0.002,-0.901,308.761,1.423,359.627,1,roller
12-13-54,3,0.316,-0.012,-0.001,-0.947,323.099,1.604,359.542,1,roller
12-13-55,3,0.052,-0.011,-0.003,-0.995,233.979,1.245,20.226,1,roller
