Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-40-45,3.339,0,0.998,1.000,2.869,2.794,0.537,0.420,0.564,0.459,-0.014,0.004,-0.026,-0.073,-0.076,0.987,-90.323,2.000,3.096,-0.400,-0.005,0.898,30.835,4.233,-24.957,-32.304,3.342,-26.462,0.083,-0.079,0.987,0.073,-0.077,0.988,,1,sea
12-40-46,4.865,0,0.906,0.916,2.952,2.846,0.567,0.442,0.596,0.485,-0.014,0.003,-0.026,0.009,-0.163,0.977,-93.599,2.015,8.036,-0.244,-0.103,0.949,30.337,3.783,-24.271,-32.830,3.034,-26.573,-0.006,-0.166,0.978,-0.016,-0.165,0.978,,1,sea
12-40-47,4.667,0,0.925,0.961,3.039,2.893,0.576,0.443,0.607,0.487,-0.010,0.003,-0.026,0.039,-0.173,0.972,-96.608,2.024,13.960,0.036,-0.110,0.975,30.212,3.861,-24.536,-32.998,2.982,-26.491,-0.036,-0.173,0.973,-0.044,-0.168,0.973,,1,sea
12-40-48,2.830,0,0.998,0.998,2.834,2.730,0.597,0.426,0.633,0.470,-0.008,0.004,-0.026,0.111,-0.103,0.973,-98.164,2.024,21.250,0.089,-0.012,0.968,29.860,4.099,-24.610,-33.420,3.204,-26.703,-0.098,-0.106,0.975,-0.117,-0.101,0.972,,1,sea
12-40-49,4.971,0,0.985,0.996,2.756,2.643,0.532,0.429,0.563,0.471,0.009,0.004,-0.026,-0.083,-0.121,0.986,-99.349,2.029,29.005,-0.171,-0.040,0.980,30.994,4.223,-25.359,-32.300,3.270,-26.718,0.086,-0.118,0.986,0.076,-0.126,0.986,,1,sea
12-40-50,1.440,0,0.757,0.737,2.845,2.638,0.545,0.503,0.570,0.551,-0.004,0.003,-0.026,-0.059,-0.388,0.909,-100.866,2.031,37.271,-0.160,-0.316,0.924,30.690,3.351,-25.449,-32.381,2.328,-26.936,0.063,-0.387,0.907,0.056,-0.384,0.911,,1,sea
12-40-51,3.379,0,0.990,0.981,2.642,2.561,0.559,0.426,0.592,0.468,0.007,0.004,-0.026,-0.003,-0.123,0.990,-102.489,2.036,45.504,-0.156,-0.036,0.984,30.505,4.234,-24.826,-32.762,3.306,-26.598,0.013,-0.127,0.989,-0.005,-0.117,0.990,,1,sea
12-40-52,3.655,0,0.999,0.988,2.765,2.678,0.569,0.429,0.604,0.472,-0.003,0.004,-0.026,0.020,-0.128,0.987,-104.530,2.038,54.476,-0.128,-0.044,0.985,30.338,4.134,-24.788,-32.993,3.249,-26.680,-0.017,-0.130,0.987,-0.030,-0.127,0.987,,1,sea
12-40-53,3.327,0,0.992,0.990,2.750,2.716,0.584,0.435,0.617,0.478,-0.012,0.003,-0.026,0.062,-0.146,0.982,-106.552,2.041,63.648,0.002,-0.067,0.992,30.045,3.888,-24.124,-33.184,3.115,-26.479,-0.052,-0.147,0.983,-0.068,-0.143,0.982,,1,sea
12-40-54,2.211,0,1.000,0.997,2.983,2.835,0.705,0.425,0.743,0.474,-0.002,0.004,-0.025,0.402,-0.086,0.906,-107.975,2.044,73.276,0.633,-0.018,0.751,28.009,3.985,-24.178,-35.088,3.190,-26.956,-0.396,-0.085,0.910,-0.419,-0.087,0.898,,1,sea
12-40-55,2.262,0,0.989,0.999,2.604,2.526,0.556,0.428,0.582,0.468,-0.001,0.004,-0.026,-0.029,-0.114,0.972,-107.847,2.048,82.904,0.612,-0.067,0.762,30.484,3.946,-24.170,-32.564,3.444,-27.237,0.039,-0.112,0.972,0.016,-0.113,0.973,,1,sea
12-40-56,3.897,0,1.000,1.000,2.530,2.451,0.604,0.409,0.633,0.450,-0.006,0.004,-0.026,0.118,-0.047,0.980,-104.254,2.041,91.826,0.933,-0.005,0.343,29.701,4.092,-23.635,-33.438,3.623,-27.032,-0.108,-0.046,0.979,-0.114,-0.050,0.980,,1,sea
12-40-57,2.944,0,0.997,1.000,2.438,2.397,0.541,0.422,0.567,0.462,0.003,0.004,-0.026,-0.069,-0.096,0.990,-97.865,2.033,98.099,0.801,-0.030,0.592,30.773,4.236,-24.846,-32.356,3.336,-26.456,0.071,-0.100,0.989,0.060,-0.094,0.991,,1,sea
12-40-58,5.256,0,1.000,1.000,2.458,2.389,0.541,0.425,0.568,0.465,0.008,0.004,-0.026,-0.055,-0.113,0.991,-90.604,2.037,103.243,0.874,-0.054,0.480,30.853,4.451,-25.884,-32.364,3.316,-26.565,0.055,-0.115,0.991,0.055,-0.108,0.992,,1,sea
12-40-59,3.858,0,0.978,1.000,2.482,2.440,0.515,0.434,0.544,0.476,0.007,0.004,-0.026,-0.127,-0.146,0.979,-82.681,2.038,107.360,0.746,-0.116,0.625,31.270,4.296,-25.764,-31.942,3.468,-27.570,0.132,-0.144,0.979,0.118,-0.146,0.980,,1,sea
12-41-00,2.180,0,1.000,1.000,2.749,2.581,0.513,0.398,0.541,0.440,-0.006,0.004,-0.026,-0.140,-0.021,0.978,-75.530,2.015,111.342,0.212,-0.035,0.954,31.248,4.560,-24.848,-31.937,3.579,-26.251,0.153,-0.011,0.976,0.136,-0.018,0.979,,1,sea
12-41-01,2.611,0,0.975,0.942,3.119,2.829,0.470,0.398,0.493,0.437,0.002,0.004,-0.025,-0.279,-0.003,0.956,-72.343,1.999,115.010,-0.459,-0.007,0.885,31.932,4.460,-24.614,-31.148,3.687,-26.477,0.282,-0.001,0.955,0.265,-0.007,0.960,,1,sea
12-41-02,2.119,0,0.832,0.778,2.648,2.457,0.521,0.401,0.547,0.443,-0.008,0.004,-0.023,-0.096,-0.032,0.992,-62.767,1.755,105.112,-0.538,-0.011,0.812,31.174,4.907,-25.699,-32.036,3.769,-26.648,0.100,-0.031,0.871,0.095,-0.036,0.872,,1,sea
12-41-03,3.013,0,1.000,1.000,3.021,2.837,0.507,0.405,0.534,0.444,-0.001,0.004,-0.026,-0.156,-0.035,0.968,-72.102,1.997,123.931,-0.786,-0.020,0.568,31.328,4.309,-24.269,-31.809,3.682,-26.742,0.172,-0.029,0.963,0.155,-0.038,0.968,,1,sea
12-41-04,2.523,0,0.816,0.747,2.875,2.298,0.510,0.351,0.532,0.395,-0.009,0.004,-0.025,0.025,-0.064,0.976,-71.529,1.926,123.705,-0.623,-0.007,0.719,30.211,4.398,-24.158,-32.803,3.441,-26.024,-0.016,-0.064,0.940,-0.010,-0.052,0.829,,1,sea
12-41-05,3.730,0,0.989,0.988,2.962,2.753,0.538,0.409,0.569,0.451,-0.007,0.004,-0.026,-0.058,-0.065,0.993,-77.627,2.010,133.503,-0.708,0.007,0.698,30.869,4.439,-24.821,-32.349,3.601,-26.735,0.073,-0.059,0.992,0.053,-0.065,0.993,,1,sea
12-41-06,2.863,0,1.000,0.994,3.129,2.922,0.573,0.418,0.605,0.463,-0.006,0.004,-0.025,0.045,-0.087,0.987,-81.584,2.017,138.756,-0.665,-0.007,0.735,30.293,4.216,-24.462,-32.931,3.172,-25.998,-0.035,-0.093,0.987,-0.053,-0.088,0.987,,1,sea
12-41-07,3.694,0,0.988,1.000,3.276,3.011,0.451,0.420,0.476,0.458,0.006,0.004,-0.026,-0.320,-0.062,0.930,-86.127,2.021,144.149,-0.952,-0.009,0.248,32.311,4.378,-25.742,-30.827,3.411,-26.674,0.321,-0.062,0.929,0.307,-0.064,0.935,,1,sea
12-41-08,2.010,0,1.000,0.996,3.027,2.866,0.548,0.428,0.577,0.468,0.002,0.004,-0.026,-0.036,-0.107,0.978,-91.223,2.027,149.850,-0.749,-0.020,0.640,30.658,4.124,-24.912,-32.444,3.277,-26.788,0.049,-0.112,0.978,0.025,-0.101,0.980,,1,sea
12-41-09,1.670,0,1.000,0.992,2.930,2.787,0.597,0.424,0.632,0.468,-0.008,0.004,-0.026,0.110,-0.102,0.987,-96.345,2.028,155.905,-0.526,-0.019,0.848,29.849,3.996,-24.061,-33.413,3.236,-26.682,-0.096,-0.103,0.988,-0.113,-0.099,0.986,,1,sea
12-41-10,3.760,0,0.998,0.964,3.003,2.808,0.614,0.417,0.646,0.462,-0.010,0.004,-0.026,0.149,-0.078,0.981,-101.268,2.029,162.415,-0.428,-0.014,0.898,29.579,4.020,-23.761,-33.610,3.349,-26.760,-0.150,-0.077,0.982,-0.155,-0.078,0.980,,1,sea
12-41-11,3.451,0,0.997,0.997,2.910,2.745,0.585,0.412,0.615,0.456,-0.008,0.004,-0.025,0.072,-0.062,0.990,-106.014,2.027,169.502,-0.527,-0.010,0.838,30.051,4.201,-24.197,-33.120,3.311,-26.249,-0.060,-0.064,0.990,-0.072,-0.063,0.990,,1,sea
