Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
07-46-14,5.000,0.049,-0.050,-0.075,-0.995,353.960,5.293,8.360,11,roller
07-46-15,5.000,0.044,-0.038,-0.072,-0.996,354.659,4.016,8.130,11,roller
07-46-16,5.000,0.038,-0.025,-0.070,-0.997,355.476,2.509,7.947,11,roller
07-46-17,5.000,0.026,-0.029,-0.061,-0.997,356.835,3.080,6.923,11,roller
07-46-18,5.000,0.016,-0.034,-0.060,-0.997,357.951,3.753,6.826,11,roller
07-46-19,5.000,0.090,-0.008,-0.102,-0.989,349.733,231.977,11.884,11,roller
07-46-20,5.000,0.252,-0.023,-0.097,-0.961,330.659,196.164,11.478,11,roller
07-46-21,5.000,0.406,-0.054,-0.062,-0.910,311.781,4.092,5.958,11,roller
07-46-22,5.000,0.415,-0.055,-0.060,-0.906,310.692,4.437,5.485,11,roller
07-46-23,5.000,0.410,-0.056,-0.059,-0.908,311.248,4.681,5.313,11,roller
07-46-24,5.000,0.401,-0.058,-0.058,-0.912,312.347,4.994,5.068,11,roller
07-46-25,5.000,0.396,-0.059,-0.058,-0.914,313.003,5.149,5.029,11,roller
07-46-26,5.000,0.393,-0.057,-0.060,-0.916,313.424,4.758,5.410,11,roller
07-46-27,5.000,0.392,-0.057,-0.060,-0.916,313.526,4.830,5.398,11,roller
07-46-28,5.000,0.389,-0.061,-0.056,-0.918,313.954,5.580,4.618,11,roller
07-46-29,5.000,0.326,-0.061,-0.057,-0.941,321.629,5.794,4.875,11,roller
07-46-30,5.000,0.108,-0.043,-0.071,-0.987,306.069,4.229,7.746,11,roller
07-46-31,5.000,-0.192,-0.018,-0.083,-0.972,22.033,4.277,10.636,11,roller
07-46-32,5.000,-0.600,0.018,-0.082,-0.785,72.728,40.011,48.261,11,roller
07-46-33,5.000,-0.633,0.021,-0.082,-0.767,77.814,25.646,34.066,11,roller
07-46-34,5.000,-0.165,-0.020,-0.079,-0.961,112.096,4.708,10.624,11,roller
07-46-35,5.000,0.616,-0.050,-0.048,-0.739,297.366,71.342,97.955,11,roller
07-46-36,5.000,0.972,-0.072,-0.001,-0.136,242.870,178.831,188.717,11,roller
07-46-37,5.000,0.888,-0.060,0.041,0.424,51.065,176.924,185.656,11,roller
07-46-38,5.000,0.434,-0.027,0.069,0.870,52.498,37.867,22.249,11,roller
07-46-39,5.000,-0.279,-0.022,0.195,0.918,309.685,239.697,30.591,11,roller
07-46-40,5.000,-0.655,-0.072,0.573,0.390,323.698,278.703,134.614,11,roller
07-46-41,5.000,-0.630,0.080,0.571,-0.440,26.830,282.612,232.094,11,roller
07-46-42,5.000,-0.277,0.094,0.134,-0.926,27.558,294.598,268.537,11,roller
07-46-43,5.000,0.282,-0.045,-0.071,-0.940,305.922,3.491,7.313,11,roller
