Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
11-55-34,0,0.029,-0.683,0.007,-0.730,358.129,86.200,357.184,12,beach
11-55-35,0,0.037,-0.661,-0.019,-0.748,355.487,82.882,178.902,12,beach
11-55-36,0,0.028,-0.668,-0.040,-0.742,354.529,83.910,16.228,12,beach
11-55-37,0,0.050,-0.633,-0.067,-0.769,350.655,78.655,2.349,12,beach
11-55-38,0,0.064,-0.630,-0.071,-0.770,349.154,78.441,1.713,12,beach
11-55-39,0,0.070,-0.632,-0.083,-0.767,347.716,78.714,2.262,12,beach
11-55-40,0,0.068,-0.654,-0.070,-0.750,348.860,82.037,63.561,12,beach
11-55-41,0,0.066,-0.671,-0.073,-0.735,348.797,84.668,79.338,12,beach
11-55-42,0,0.143,-0.631,-0.117,-0.753,338.714,79.922,284.771,12,beach
11-55-43,0,0.176,-0.631,-0.126,-0.745,335.132,80.961,357.834,12,beach
11-55-44,0,0.203,-0.637,-0.130,-0.732,332.431,83.109,355.560,12,beach
11-55-45,0,0.147,-0.671,-0.107,-0.717,339.139,86.653,357.430,12,beach
11-55-46,0,0.267,-0.626,-0.164,-0.715,324.111,84.682,352.978,12,beach
11-55-47,0,0.291,-0.626,-0.179,-0.701,320.768,86.484,351.589,12,beach
11-55-48,0,0.256,-0.642,-0.167,-0.700,324.908,87.240,353.251,12,beach
11-55-49,0,0.015,-0.660,-0.029,-0.749,356.475,82.723,1.424,12,beach
11-55-50,0,0.021,-0.647,-0.028,-0.761,356.046,80.704,0.881,12,beach
11-55-51,0,0.025,-0.620,-0.035,-0.784,355.259,76.628,1.346,12,beach
11-55-52,0,0.030,-0.625,-0.035,-0.779,354.826,77.388,0.970,12,beach
11-55-53,0,0.021,-0.615,-0.049,-0.786,354.652,75.963,2.982,12,beach
11-55-54,0,0.015,-0.622,-0.047,-0.781,355.315,76.937,3.203,12,beach
11-55-55,0,0.016,-0.626,-0.049,-0.778,355.053,77.438,3.183,12,beach
11-55-56,0,0.026,-0.643,-0.043,-0.764,354.569,80.121,1.857,12,beach
11-55-57,0,0.029,-0.643,-0.041,-0.764,354.445,80.071,1.421,12,beach
11-55-58,0,0.030,-0.641,-0.043,-0.766,354.233,79.730,1.583,12,beach
11-55-59,0,0.029,-0.648,-0.055,-0.759,353.325,80.829,2.683,12,beach
11-56-00,0,0.065,-0.626,-0.073,-0.774,348.866,77.735,1.877,12,beach
11-56-01,0,0.063,-0.628,-0.072,-0.772,349.180,78.053,1.848,12,beach
11-56-02,0,0.069,-0.631,-0.066,-0.770,349.097,78.610,15.885,12,beach
11-56-03,0,0.072,-0.653,-0.067,-0.751,348.786,81.941,131.297,12,beach
