Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
12-41-26,2.156,0,0.999,0.995,2.649,2.739,0.514,0.667,0.479,0.651,0.004,-0.001,-0.031,0.034,-0.085,0.994,-48.352,3.376,46.955,-0.008,-0.071,0.996,32.031,-1.433,-31.154,-29.014,-1.237,-30.241,-0.036,-0.082,0.994,-0.022,-0.089,0.994,,12,walk
12-41-27,2.350,0,0.841,0.796,2.328,1.965,0.468,0.634,0.484,0.690,0.006,-0.001,-0.028,0.047,-0.108,0.980,-43.169,3.012,41.930,0.010,-0.120,0.976,31.901,-1.634,-31.589,-29.061,-1.216,-31.210,-0.039,-0.110,0.873,-0.032,-0.077,0.774,,12,walk
12-41-28,3.004,0,0.919,0.903,2.232,2.228,0.504,0.632,0.473,0.612,-0.001,-0.000,-0.026,0.013,0.049,0.993,-40.019,2.767,39.092,0.014,-0.039,0.997,32.265,-0.640,-31.955,-28.930,-0.408,-30.664,-0.014,0.054,0.820,-0.009,0.051,0.820,,12,walk
12-41-29,3.693,0,1.000,1.000,3.044,3.075,0.493,0.651,0.461,0.624,-0.001,-0.001,-0.031,0.009,0.007,0.986,-48.338,3.551,47.574,0.029,-0.211,0.965,32.511,-1.064,-32.058,-28.572,-0.712,-30.763,-0.012,-0.002,0.987,-0.008,-0.000,0.987,,12,walk
12-41-30,3.238,0,0.917,0.896,2.553,2.574,0.504,0.642,0.421,0.561,-0.013,-0.000,-0.027,0.014,0.071,0.996,-41.687,3.265,40.879,0.006,-0.052,0.998,32.466,-0.697,-32.504,-28.871,-0.540,-30.872,-0.018,0.075,0.858,-0.013,0.073,0.858,,12,walk
12-41-31,1.655,0,0.832,0.788,2.601,2.598,0.517,0.809,0.457,0.786,-0.003,-0.002,-0.025,0.018,-0.283,0.946,-38.259,2.937,37.592,0.044,-0.719,0.531,32.034,-3.095,-33.008,-28.437,-3.003,-31.242,-0.036,-0.310,0.770,-0.009,-0.302,0.774,,12,walk
12-41-32,1.402,0,0.944,0.994,3.333,3.249,0.388,0.752,0.336,0.709,0.003,-0.002,-0.032,-0.211,-0.173,0.946,-48.387,3.712,47.479,-0.617,-0.702,0.280,34.378,-2.585,-33.181,-26.191,-2.226,-30.842,0.202,-0.181,0.945,0.197,-0.149,0.914,,12,walk
12-41-33,0.811,0,0.830,0.879,3.135,3.158,0.474,0.836,0.412,0.784,0.008,-0.004,-0.032,0.026,-0.305,0.916,-48.360,3.683,47.497,-0.120,-0.912,0.267,33.063,-3.940,-33.565,-27.398,-3.358,-30.898,-0.017,-0.306,0.880,0.026,-0.272,0.857,,12,walk
12-41-34,1.464,0,0.944,1.000,3.453,3.562,0.443,0.812,0.389,0.740,-0.001,-0.003,-0.032,-0.032,-0.255,0.953,-48.461,3.705,47.415,-0.545,-0.823,-0.052,33.648,-3.724,-33.490,-26.791,-2.732,-30.938,0.020,-0.260,0.950,0.035,-0.236,0.958,,12,walk
12-41-35,2.291,0,1.000,1.000,3.467,3.537,0.523,0.784,0.471,0.731,-0.011,-0.003,-0.032,0.121,-0.224,0.951,-48.460,3.697,47.424,-0.289,-0.864,0.285,32.192,-3.188,-33.460,-28.355,-2.473,-31.247,-0.131,-0.222,0.952,-0.118,-0.212,0.957,,12,walk
12-41-36,2.530,0,0.931,0.969,3.258,3.274,0.517,0.712,0.477,0.658,-0.011,-0.002,-0.032,0.119,0.008,0.964,-48.428,3.693,47.501,-0.136,-0.714,0.617,32.212,-1.943,-34.244,-28.590,-1.371,-31.638,-0.106,-0.009,0.961,-0.112,0.006,0.967,,12,walk
12-41-37,0.369,0,0.703,0.932,1.661,3.457,-0.159,0.139,0.327,0.809,-0.007,-0.004,-0.033,-0.143,-0.353,0.916,-48.546,3.652,47.360,-0.093,-0.884,-0.423,34.471,-4.487,-34.780,-25.734,-3.723,-31.669,0.080,-0.206,0.560,0.148,-0.347,0.917,,12,walk
12-41-38,1.770,0,0.978,0.983,3.338,3.474,0.543,0.841,0.488,0.774,0.001,-0.004,-0.033,0.220,-0.240,0.933,-48.566,3.643,47.381,-0.198,-0.938,0.127,32.079,-4.150,-34.468,-28.394,-3.281,-31.794,-0.224,-0.251,0.926,-0.214,-0.238,0.935,,12,walk
12-41-39,1.569,0,0.927,0.932,3.420,3.066,0.401,0.727,0.358,0.652,0.002,-0.002,-0.033,-0.081,0.058,0.984,-48.475,3.687,47.478,-0.674,-0.658,0.219,34.561,-2.808,-34.187,-26.291,-1.319,-32.031,0.088,0.067,0.983,0.098,0.070,0.892,,12,walk
12-41-40,1.494,0,0.811,0.780,2.610,2.336,0.314,0.604,0.331,0.628,0.013,-0.003,-0.028,0.039,-0.196,0.947,-40.923,3.137,40.179,-0.153,-0.661,0.362,32.810,-3.755,-33.625,-27.933,-2.841,-31.998,-0.040,-0.198,0.796,-0.008,-0.170,0.729,,12,walk
12-41-41,1.599,0,0.986,0.997,3.069,3.401,0.375,0.708,0.437,0.786,-0.011,-0.004,-0.032,0.054,-0.315,0.943,-48.302,3.675,47.510,0.123,-0.959,0.206,32.778,-4.565,-33.463,-27.779,-3.276,-31.964,-0.061,-0.285,0.872,-0.044,-0.309,0.945,,12,walk
12-41-42,1.639,0,0.886,0.908,3.036,2.730,0.509,0.848,0.467,0.782,0.013,-0.004,-0.029,0.105,-0.170,0.934,-42.679,3.250,42.022,0.260,-0.685,0.326,32.364,-4.624,-33.708,-28.319,-3.303,-32.440,-0.101,-0.186,0.848,-0.120,-0.162,0.792,,12,walk
12-41-43,1.960,0,0.922,0.961,3.222,3.225,0.482,0.843,0.431,0.780,-0.011,-0.004,-0.032,0.022,-0.247,0.958,-48.297,3.693,47.489,0.057,-0.855,0.401,32.895,-4.677,-33.088,-27.713,-3.607,-31.449,-0.042,-0.257,0.954,-0.017,-0.247,0.959,,12,walk
12-41-44,1.076,0,0.981,0.999,3.362,3.462,0.484,0.881,0.432,0.809,-0.003,-0.005,-0.032,0.048,-0.322,0.944,-48.182,3.652,47.567,0.028,-0.983,0.167,32.901,-5.273,-33.099,-27.668,-4.026,-31.452,-0.064,-0.331,0.940,-0.039,-0.317,0.945,,12,walk
12-41-45,0.844,0,0.888,0.994,2.753,3.591,0.236,0.620,0.407,0.823,-0.015,-0.004,-0.032,0.003,-0.368,0.928,-48.044,3.645,47.712,-0.012,-0.988,0.130,33.307,-5.642,-33.201,-27.175,-4.171,-31.431,-0.014,-0.345,0.766,0.001,-0.360,0.931,,12,walk
12-41-46,2.133,0,0.928,0.937,2.627,3.020,0.354,0.677,0.412,0.751,-0.015,-0.003,-0.028,-0.007,-0.184,0.970,-42.741,3.266,42.623,0.036,-0.741,0.533,33.284,-3.960,-33.873,-27.391,-2.943,-31.673,-0.013,-0.179,0.779,0.013,-0.183,0.860,,12,walk
12-41-47,1.182,0,0.856,0.863,2.244,2.712,0.258,0.530,0.444,0.758,-0.009,-0.003,-0.027,0.037,-0.315,0.925,-40.672,3.121,40.696,0.051,-0.776,0.430,32.767,-3.836,-32.786,-27.902,-2.503,-31.909,-0.048,-0.260,0.669,-0.034,-0.302,0.777,,12,walk
12-41-48,3.804,0,1.000,1.000,3.073,3.063,0.466,0.648,0.443,0.594,-0.012,-0.000,-0.033,0.007,0.131,0.990,-47.923,3.776,48.346,-0.009,-0.121,0.987,33.249,-1.125,-33.820,-28.075,-0.011,-32.350,-0.010,0.138,0.989,-0.009,0.129,0.990,,12,walk
12-41-49,1.555,0,0.986,0.972,3.112,3.057,0.578,0.704,0.549,0.660,0.006,-0.001,-0.033,0.258,-0.049,0.953,-47.930,3.781,48.414,0.748,-0.238,0.490,31.295,-2.005,-32.993,-29.926,-0.884,-32.467,-0.261,-0.045,0.953,-0.251,-0.056,0.955,,12,walk
12-41-50,1.746,0,0.923,0.869,2.911,2.487,0.550,0.749,0.501,0.704,0.004,-0.002,-0.030,0.171,-0.129,0.963,-44.023,3.477,44.440,0.667,-0.324,-0.391,31.889,-2.598,-32.761,-29.082,-1.421,-32.160,-0.191,-0.136,0.878,-0.159,-0.115,0.807,,12,walk
12-41-51,1.217,0,0.908,0.878,3.079,3.182,0.363,0.596,0.441,0.707,-0.008,-0.002,-0.031,0.030,-0.202,0.953,-45.857,3.575,46.187,0.434,-0.676,-0.425,32.665,-2.570,-33.252,-27.955,-1.413,-32.218,-0.043,-0.163,0.881,-0.018,-0.192,0.914,,12,walk
