Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation
11-38-40,1.952,1,0.813,0.901,4.967,4.828,0.509,0.620,0.515,0.625,-0.007,-0.001,-0.027,0.041,-0.173,0.961,-51.773,2.443,77.312,0.965,-0.117,-0.008,32.291,-0.813,-26.402,-30.038,-0.753,-27.320,-0.074,-0.192,0.955,-0.019,-0.171,0.959,,13,beach
11-38-41,1.795,1,0.686,0.732,3.606,3.542,0.365,0.420,0.435,0.496,-0.014,-0.001,-0.023,0.125,-0.135,0.957,-43.811,2.066,65.434,0.818,-0.099,0.130,31.864,-0.922,-26.138,-30.585,-0.728,-27.353,-0.145,-0.124,0.765,-0.110,-0.105,0.773,,13,beach
11-38-42,5.631,1,1.000,1.000,5.022,4.954,0.555,0.598,0.592,0.615,-0.011,-0.001,-0.027,0.202,-0.100,0.974,-51.755,2.447,77.324,0.998,-0.011,-0.064,31.576,-0.851,-25.771,-31.302,-0.804,-27.425,-0.200,-0.103,0.974,-0.202,-0.099,0.974,,13,beach
11-38-43,4.665,1,1.000,1.000,4.786,4.881,0.547,0.592,0.584,0.606,-0.011,-0.001,-0.027,0.179,-0.080,0.980,-51.758,2.447,77.317,0.996,0.000,-0.078,31.704,-0.878,-25.544,-31.185,-0.685,-27.371,-0.175,-0.080,0.981,-0.181,-0.080,0.980,,13,beach
11-38-44,1.573,1,0.864,0.864,4.101,4.109,0.445,0.421,0.465,0.432,-0.004,-0.000,-0.023,0.246,0.033,0.956,-44.679,2.098,66.753,0.714,-0.043,-0.311,31.189,-0.571,-25.818,-31.406,-0.360,-27.565,-0.252,0.036,0.819,-0.246,0.043,0.820,,13,beach
11-38-45,0.557,1,0.180,0.380,2.028,1.381,0.491,0.733,0.452,0.732,-0.000,-0.001,-0.015,-0.036,-0.228,0.947,-28.293,1.288,42.034,0.143,-0.459,0.202,32.686,-2.934,-26.163,-29.004,-2.356,-27.501,-0.008,-0.231,0.574,0.069,-0.199,0.453,,13,beach
11-38-46,1.303,1,0.893,0.929,4.046,3.980,0.533,0.552,0.547,0.553,-0.010,-0.000,-0.027,0.140,0.054,0.961,-51.789,2.413,77.088,-0.152,-0.140,-0.902,32.046,-0.264,-25.981,-30.375,0.034,-27.414,-0.154,0.051,0.963,-0.134,0.072,0.963,,13,beach
11-38-47,2.365,1,1.000,1.000,4.720,4.618,0.600,0.538,0.627,0.549,-0.004,0.000,-0.027,0.323,0.099,0.916,-51.763,2.441,77.120,-0.763,0.167,-0.548,30.941,0.050,-26.286,-31.593,0.170,-27.825,-0.325,0.100,0.914,-0.333,0.108,0.911,,13,beach
11-38-48,1.649,1,1.000,1.000,4.746,4.613,0.535,0.505,0.552,0.508,-0.007,0.000,-0.027,0.123,0.247,0.956,-51.719,2.473,77.166,-0.489,0.746,-0.436,31.947,0.141,-25.837,-30.646,0.384,-27.338,-0.147,0.242,0.954,-0.103,0.247,0.958,,13,beach
11-38-49,3.630,1,1.000,1.000,4.678,4.514,0.535,0.469,0.565,0.474,-0.001,0.001,-0.027,0.147,0.374,0.915,-51.705,2.477,77.202,-0.341,0.899,-0.270,31.997,0.513,-25.748,-30.836,0.759,-27.482,-0.154,0.372,0.914,-0.140,0.374,0.916,,13,beach
