Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-13-15,0,-0.027,0.149,-0.003,-0.988,3.078,342.854,346.015,14,sea
04-13-16,0,-0.026,0.095,-0.011,-0.995,3.065,349.142,42.544,14,sea
04-13-17,0,-0.033,0.092,-0.016,-0.995,3.936,349.460,1.440,14,sea
04-13-18,0,-0.032,0.024,-0.006,-0.999,3.735,357.247,144.544,14,sea
04-13-19,0,-0.032,0.022,-0.023,-0.999,3.746,357.503,2.598,14,sea
04-13-20,0,-0.032,0.006,-0.020,-0.999,3.677,248.602,2.287,14,sea
04-13-21,0,-0.035,-0.061,-0.008,-0.997,3.997,6.990,1.157,14,sea
04-13-22,0,-0.035,-0.067,-0.018,-0.997,3.868,7.804,2.364,14,sea
04-13-23,0,-0.036,-0.077,-0.022,-0.996,3.943,8.881,2.887,14,sea
04-13-24,0,-0.031,-0.040,-0.030,-0.998,3.401,4.735,3.645,14,sea
04-13-25,0,-0.012,-0.017,-0.019,-1.000,1.390,1.938,2.162,14,sea
04-13-26,0,-0.014,-0.017,-0.014,-1.000,1.596,1.976,1.594,14,sea
04-13-27,0,-0.021,-0.071,-0.003,-0.997,2.425,8.174,83.558,14,sea
04-13-28,0,-0.024,0.002,-0.034,-0.998,2.831,124.492,3.872,14,sea
04-13-29,0,-0.014,0.378,-0.093,-0.906,5.771,315.119,9.251,14,sea
04-13-30,0,0.017,0.769,-0.077,-0.626,5.519,258.623,7.147,14,sea
04-13-31,0,0.030,0.935,-0.062,-0.338,5.606,220.032,5.627,14,sea
04-13-32,0,-0.002,0.958,-0.065,0.165,6.417,160.359,243.607,14,sea
04-13-33,0,0.015,0.910,-0.050,0.310,94.467,142.133,193.216,14,sea
04-13-34,0,-0.005,0.988,0.026,-0.147,329.438,196.990,331.269,14,sea
04-13-35,0,-0.019,0.976,-0.011,-0.212,1.702,204.457,358.095,14,sea
04-13-36,0,-0.011,0.980,-0.026,-0.199,3.199,202.922,344.354,14,sea
04-13-37,0,-0.028,0.965,-0.018,-0.260,2.846,210.065,357.406,14,sea
04-13-38,0,-0.028,0.947,-0.016,-0.319,2.714,217.163,357.517,14,sea
04-13-39,0,-0.019,0.940,-0.017,-0.341,2.516,219.834,358.629,14,sea
04-13-40,0,-0.020,0.926,-0.025,-0.371,3.646,223.615,243.771,14,sea
04-13-41,0,-0.074,0.767,-0.006,-0.630,5.933,258.460,353.889,14,sea
04-13-42,0,-0.058,0.593,-0.004,-0.801,5.557,286.816,356.369,14,sea
04-13-43,0,-0.048,0.444,-0.008,-0.893,5.332,307.019,358.348,14,sea
04-13-44,0,-0.051,0.264,-0.002,-0.961,5.737,329.206,358.605,14,sea
