Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
03-57-28,0,-0.244,0.710,-0.496,-0.436,66.557,251.505,12.631,4,room
03-57-29,0,-0.226,0.728,-0.497,-0.413,65.604,247.090,11.986,4,room
03-57-30,0,-0.216,0.741,-0.486,-0.410,63.808,244.484,10.434,4,room
03-57-31,0,-0.225,0.729,-0.483,-0.430,63.891,248.119,11.343,4,room
03-57-32,0,-0.200,0.730,-0.512,-0.404,65.553,249.160,17.308,4,room
03-57-33,0,-0.132,0.811,-0.547,-0.141,68.291,193.603,325.172,4,room
03-57-34,0,-0.088,0.826,-0.548,-0.098,67.306,189.722,354.273,4,room
03-57-35,0,-0.057,0.834,-0.516,-0.179,61.776,209.633,79.460,4,room
03-57-36,0,-0.059,0.852,-0.465,-0.230,55.149,216.541,11.725,4,room
03-57-37,0,-0.064,0.880,-0.415,-0.222,49.318,211.262,6.371,4,room
03-57-38,0,-0.068,0.872,-0.415,-0.248,49.285,215.373,7.791,4,room
03-57-39,0,-0.065,0.868,-0.416,-0.262,49.179,217.765,9.238,4,room
03-57-40,0,-0.080,0.863,-0.457,-0.189,55.030,206.025,142.321,4,room
03-57-41,0,-0.060,0.848,-0.521,-0.071,63.202,188.013,249.074,4,room
03-57-42,0,-0.017,0.864,-0.483,-0.032,58.098,187.242,90.242,4,room
03-57-43,0,0.025,0.753,-0.103,0.624,11.636,100.354,355.603,4,room
03-57-44,0,0.037,0.702,-0.056,0.709,7.499,89.375,358.384,4,room
03-57-45,0,0.050,0.724,-0.096,0.682,11.969,93.057,356.583,4,room
03-57-46,0,0.077,0.753,-0.160,0.632,19.825,99.087,354.817,4,room
03-57-47,0,0.040,0.720,-0.102,0.685,11.697,92.419,355.222,4,room
03-57-48,0,0.035,0.708,-0.090,0.699,10.176,90.375,355.585,4,room
03-57-49,0,0.070,0.726,-0.125,0.671,16.008,93.956,356.068,4,room
03-57-50,0,0.066,0.713,-0.111,0.688,14.480,91.622,356.574,4,room
03-57-51,0,0.148,0.671,-0.129,0.714,22.704,86.672,169.660,4,room
03-57-52,0,0.175,0.592,-0.144,0.773,26.036,74.654,231.243,4,room
03-57-53,0,0.104,0.329,-0.101,0.435,30.015,66.125,234.167,4,room
03-57-54,0,-0.147,0.280,-0.008,-0.880,17.672,232.061,357.486,4,room
03-57-55,0,-0.077,0.691,-0.037,-0.718,9.293,271.992,356.944,4,room
03-57-56,0,-0.112,0.704,-0.078,-0.696,15.390,268.941,356.973,4,room
03-57-57,0,-0.142,0.720,-0.120,-0.668,21.210,265.111,357.241,4,room
