Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
03-56-56,0,-0.148,0.801,-0.317,-0.473,40.934,243.221,52.976,4,room
03-56-57,0,-0.062,0.930,-0.170,-0.278,20.836,212.974,281.994,4,room
03-56-58,0,-0.089,0.505,-0.064,-0.827,12.736,297.230,112.985,4,room
03-56-59,0,-0.079,0.461,-0.047,-0.794,10.797,298.784,248.964,4,room
03-57-00,0,-0.018,0.981,-0.171,-0.027,19.896,182.838,335.750,4,room
03-57-01,0,0.030,0.936,-0.175,0.290,20.193,145.108,357.245,4,room
03-57-02,0,0.023,0.757,-0.083,0.640,9.235,99.255,355.995,4,room
03-57-03,0,0.034,0.703,-0.046,0.708,6.480,89.508,336.438,4,room
03-57-04,0,0.033,0.719,-0.061,0.691,7.616,92.107,357.828,4,room
03-57-05,0,0.112,0.703,-0.144,0.687,20.877,90.917,357.533,4,room
03-57-06,0,0.091,0.709,-0.135,0.685,18.409,91.427,356.647,4,room
03-57-07,0,0.129,0.682,-0.122,0.709,20.517,87.858,156.235,4,room
03-57-08,0,0.169,0.571,-0.108,0.795,23.090,71.558,85.289,4,room
03-57-09,0,0.195,0.567,-0.152,0.786,28.561,71.352,358.850,4,room
03-57-10,0,-0.025,0.162,-0.046,-0.219,20.377,119.531,190.917,4,room
03-57-11,0,-0.098,0.610,-0.044,-0.776,12.059,283.485,357.351,4,room
03-57-12,0,-0.077,0.702,-0.033,-0.708,8.967,270.199,356.445,4,room
03-57-13,0,-0.062,0.697,-0.023,-0.713,6.947,271.103,356.843,4,room
03-57-14,0,-0.119,0.760,-0.121,-0.625,19.471,258.520,358.041,4,room
03-57-15,0,-0.139,0.762,-0.141,-0.617,22.734,257.500,357.582,4,room
03-57-16,0,-0.197,0.812,-0.351,-0.409,47.592,231.511,309.740,4,room
03-57-17,0,-0.170,0.776,-0.479,-0.372,60.500,237.967,11.311,4,room
03-57-18,0,-0.193,0.742,-0.521,-0.376,66.650,243.845,15.318,4,room
03-57-19,0,-0.188,0.735,-0.534,-0.373,67.792,246.457,18.753,4,room
03-57-20,0,-0.140,0.801,-0.553,-0.164,69.500,198.569,303.662,4,room
03-57-21,0,-0.113,0.821,-0.551,-0.098,68.013,185.666,348.150,4,room
03-57-22,0,-0.083,0.839,-0.521,-0.124,63.610,195.438,154.127,4,room
03-57-23,0,-0.075,0.827,-0.551,-0.083,67.405,187.997,301.571,4,room
03-57-24,0,-0.044,0.794,-0.601,-0.050,74.147,183.438,219.164,4,room
03-57-25,0,-0.111,0.771,-0.553,-0.241,68.616,220.394,82.399,4,room
