Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
04-11-28,2,0.078,-0.697,-0.029,0.712,4.079,270.943,351.334,8,beach
04-11-29,2,0.079,-0.704,-0.013,0.706,5.361,269.829,352.548,8,beach
04-11-30,2,0.096,-0.669,0.006,0.736,8.683,274.926,353.096,8,beach
04-11-31,2,0.023,-0.642,-0.039,0.765,342.056,280.038,354.863,8,beach
04-11-32,2,0.039,-0.626,-0.067,0.776,358.626,282.344,351.172,8,beach
04-11-33,2,0.054,-0.653,-0.056,0.753,131.395,278.156,351.016,8,beach
04-11-34,2,0.026,-0.640,-0.063,0.764,169.083,280.195,352.472,8,beach
04-11-35,2,-0.058,-0.632,-0.127,0.762,345.548,281.514,352.908,8,beach
04-11-36,2,-0.061,-0.631,-0.130,0.762,345.053,281.647,352.811,8,beach
04-11-37,2,-0.083,-0.631,-0.151,0.757,341.595,281.567,352.526,8,beach
04-11-38,2,-0.079,-0.639,-0.155,0.749,341.562,280.407,352.092,8,beach
04-11-39,2,-0.105,-0.629,-0.172,0.751,338.050,281.672,352.060,8,beach
04-11-40,2,-0.143,-0.619,-0.232,0.737,330.194,282.840,349.057,8,beach
04-11-41,2,-0.117,-0.633,-0.236,0.728,332.080,281.206,347.250,8,beach
04-11-42,2,-0.215,-0.584,-0.296,0.722,318.835,287.500,345.993,8,beach
04-11-43,2,-0.234,-0.582,-0.343,0.699,313.382,288.091,342.415,8,beach
04-11-44,2,-0.023,-0.638,-0.145,0.749,347.160,280.563,348.646,8,beach
04-11-45,2,0.015,-0.624,-0.057,0.779,357.271,282.769,353.777,8,beach
04-11-46,2,0.052,-0.647,-0.044,0.759,189.807,278.980,352.224,8,beach
04-11-47,2,0.107,-0.690,0.011,0.716,9.677,271.433,352.347,8,beach
04-11-48,2,0.129,-0.666,0.025,0.733,12.944,274.571,352.098,8,beach
04-11-49,2,0.123,-0.616,0.078,0.774,16.639,282.743,341.764,8,beach
04-11-50,2,0.097,-0.649,0.033,0.753,10.852,278.060,355.583,8,beach
04-11-51,2,0.257,-0.572,0.103,0.771,31.003,284.439,351.071,8,beach
04-11-52,2,0.086,-0.648,0.005,0.753,93.584,278.154,354.114,8,beach
04-11-53,2,0.002,-0.636,-0.073,0.768,354.872,281.082,353.424,8,beach
04-11-54,2,-0.043,-0.643,-0.126,0.753,346.861,279.937,351.980,8,beach
04-11-55,2,-0.139,-0.639,-0.210,0.726,331.925,279.385,351.694,8,beach
04-11-56,2,0.071,-0.760,-0.028,0.576,111.965,253.873,349.917,8,beach
04-11-57,2,-0.031,0.960,-0.067,0.232,6.767,152.566,354.615,8,beach
