Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
03-52-34,3,0.117,-0.165,0.060,0.977,14.368,341.426,4.624,8,walk
03-52-35,3,0.098,-0.144,0.052,0.983,12.060,343.749,4.349,8,walk
03-52-36,3,0.107,-0.147,0.039,0.982,12.903,343.189,79.857,8,walk
03-52-37,3,0.103,-0.110,-0.001,0.988,11.752,347.132,358.620,8,walk
03-52-38,3,0.095,-0.144,0.026,0.985,11.238,343.501,1.428,8,walk
03-52-39,3,0.097,-0.147,0.036,0.984,11.589,343.208,2.503,8,walk
03-52-40,3,0.172,-0.075,0.029,0.978,20.160,298.186,14.811,8,walk
03-52-41,3,0.036,0.432,-0.065,0.886,7.279,51.657,355.017,8,walk
03-52-42,3,0.111,0.605,-0.160,0.771,21.479,74.879,353.007,8,walk
03-52-43,3,0.053,0.611,-0.138,0.777,14.596,75.193,351.166,8,walk
03-52-44,3,0.053,0.611,-0.121,0.780,13.358,75.314,352.653,8,walk
03-52-45,3,0.068,0.603,-0.132,0.784,15.430,74.168,352.514,8,walk
03-52-46,3,0.069,0.603,-0.115,0.786,14.357,74.305,354.188,8,walk
03-52-47,3,0.077,0.603,-0.106,0.787,14.435,74.325,355.572,8,walk
03-52-48,3,0.080,0.602,-0.144,0.782,17.378,73.988,352.297,8,walk
03-52-49,3,0.090,0.594,-0.094,0.793,14.827,73.315,228.945,8,walk
03-52-50,3,0.106,0.580,-0.065,0.805,14.227,71.743,1.103,8,walk
03-52-51,3,0.114,0.587,-0.063,0.799,14.798,72.875,1.962,8,walk
03-52-52,3,0.118,0.582,-0.077,0.800,16.240,72.179,120.830,8,walk
03-52-53,3,0.093,0.623,-0.087,0.772,14.651,77.653,358.887,8,walk
03-52-54,3,0.089,0.639,-0.062,0.762,12.445,80.104,78.303,8,walk
03-52-55,3,0.106,0.635,-0.046,0.764,12.694,79.926,3.769,8,walk
03-52-56,3,0.103,0.647,-0.066,0.752,13.897,81.703,2.064,8,walk
03-52-57,3,0.116,0.635,-0.056,0.761,14.396,80.189,3.640,8,walk
03-52-58,3,0.137,0.622,-0.049,0.769,15.709,78.752,5.697,8,walk
03-52-59,3,0.137,0.621,-0.042,0.770,15.241,78.615,6.285,8,walk
03-53-00,3,0.137,0.622,-0.068,0.767,17.173,78.693,4.024,8,walk
03-53-01,3,0.116,0.657,-0.090,0.739,16.888,83.452,52.610,8,walk
03-53-02,3,0.135,0.617,-0.060,0.773,16.400,77.843,4.390,8,walk
03-53-03,3,0.135,0.608,-0.045,0.781,15.360,76.481,5.575,8,walk
