Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-01-42,1,-0.187,0.947,-0.208,0.123,19.819,160.605,334.252,9,roller
12-01-43,1,-0.064,0.985,-0.006,-0.117,170.873,193.307,352.077,9,roller
12-01-44,1,0.076,0.889,0.273,-0.345,326.989,223.728,355.935,9,roller
12-01-45,1,0.094,0.860,0.145,-0.472,340.041,237.349,39.333,9,roller
12-01-46,1,0.020,0.886,-0.110,-0.446,31.397,234.273,7.779,9,roller
12-01-47,1,0.120,0.924,-0.186,-0.300,16.187,218.817,20.639,9,roller
12-01-48,1,0.247,0.959,0.055,-0.040,285.064,182.838,29.301,9,roller
12-01-49,1,0.160,0.902,0.201,0.318,344.778,137.636,25.928,9,roller
12-01-50,1,0.151,0.634,0.175,0.720,200.110,82.382,26.217,9,roller
12-01-51,1,0.027,0.140,0.030,0.981,118.741,48.202,4.433,9,roller
12-01-52,1,-0.064,-0.024,0.017,0.997,352.687,357.147,2.163,9,roller
12-01-53,1,-0.080,-0.026,0.013,0.996,350.907,356.851,1.792,9,roller
12-01-54,1,-0.087,-0.031,0.013,0.996,350.019,356.311,1.797,9,roller
12-01-55,1,-0.088,-0.032,0.014,0.995,349.915,356.175,1.989,9,roller
12-01-56,1,-0.087,-0.032,0.015,0.996,350.124,356.088,2.070,9,roller
12-01-57,1,-0.054,-0.018,0.008,0.573,346.807,357.039,1.395,9,roller
12-01-58,1,0.110,0.013,-0.002,-0.994,347.392,358.453,0.419,9,roller
12-01-59,1,0.067,0.007,-0.006,-0.998,352.275,359.138,0.760,9,roller
12-02-00,1,0.059,0.009,-0.008,-0.998,353.249,358.899,0.957,9,roller
12-02-01,1,0.055,-0.232,-0.012,-0.965,353.554,26.972,229.055,9,roller
12-02-02,1,0.051,-0.225,-0.012,-0.968,353.959,26.168,163.746,9,roller
12-02-03,1,0.078,-0.025,-0.017,-0.996,351.012,2.736,1.784,9,roller
12-02-04,1,0.100,-0.003,-0.011,-0.994,348.443,90.170,68.861,9,roller
12-02-05,1,0.224,0.184,0.055,-0.953,333.275,338.306,335.579,9,roller
12-02-06,1,0.249,0.271,0.066,-0.927,330.208,327.158,0.857,9,roller
12-02-07,1,0.193,0.269,0.041,-0.942,337.228,327.794,1.644,9,roller
12-02-08,1,0.044,0.191,0.002,-0.979,331.072,337.787,108.895,9,roller
12-02-09,1,0.015,0.087,0.007,-0.995,238.182,349.987,311.267,9,roller
12-02-10,1,0.132,0.028,0.010,-0.990,344.779,356.796,359.295,9,roller
12-02-11,1,0.323,0.025,0.008,-0.943,322.205,356.888,174.697,9,roller
