Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
11-59-34,1,-0.142,-0.055,-0.014,0.988,343.572,353.780,295.802,9,roller
11-59-35,1,-0.131,-0.032,-0.013,0.991,344.936,356.473,358.971,9,roller
11-59-36,1,-0.117,-0.042,-0.002,0.992,346.547,355.122,255.784,9,roller
11-59-37,1,-0.100,-0.023,0.007,0.995,348.563,357.196,1.141,9,roller
11-59-38,1,-0.146,-0.012,0.002,0.989,343.219,358.501,0.435,9,roller
11-59-39,1,-0.086,-0.009,0.004,0.682,346.328,358.318,0.912,9,roller
11-59-40,1,0.104,0.020,-0.006,-0.994,348.066,357.654,0.916,9,roller
11-59-41,1,0.093,0.048,-0.005,-0.994,349.345,354.319,1.078,9,roller
11-59-42,1,0.098,0.046,-0.004,-0.994,348.746,354.624,1.016,9,roller
11-59-43,1,0.172,0.012,-0.001,-0.985,340.224,358.554,0.396,9,roller
11-59-44,1,0.172,0.012,-0.001,-0.985,340.160,358.566,0.316,9,roller
11-59-45,1,0.167,0.018,0.000,-0.986,340.754,357.814,0.357,9,roller
11-59-46,1,0.164,0.027,0.001,-0.986,341.175,356.815,0.448,9,roller
11-59-47,1,0.156,0.023,0.002,-0.987,342.021,357.339,31.998,9,roller
11-59-48,1,0.139,0.017,0.002,-0.990,343.989,358.081,58.109,9,roller
11-59-49,1,0.127,0.014,0.002,-0.992,345.431,358.391,292.449,9,roller
11-59-50,1,0.106,0.030,0.001,-0.993,347.845,356.549,174.679,9,roller
11-59-51,1,0.060,0.138,0.011,-0.988,352.959,344.143,292.151,9,roller
11-59-52,1,0.157,0.049,0.007,-0.985,341.873,354.286,168.879,9,roller
11-59-53,1,0.363,0.016,-0.002,-0.927,317.293,357.625,1.022,9,roller
11-59-54,1,0.502,0.006,-0.004,-0.865,299.698,358.358,1.483,9,roller
11-59-55,1,0.494,0.006,-0.005,-0.869,300.784,358.368,1.539,9,roller
11-59-56,1,0.490,0.006,-0.005,-0.872,301.391,358.335,1.640,9,roller
11-59-57,1,0.488,0.006,-0.007,-0.873,301.609,358.239,1.848,9,roller
11-59-58,1,0.488,0.005,-0.005,-0.873,301.577,358.598,1.433,9,roller
11-59-59,1,0.487,0.005,-0.005,-0.873,301.671,358.530,1.536,9,roller
12-00-00,1,0.482,0.005,-0.007,-0.876,302.441,358.333,1.804,9,roller
12-00-01,1,0.477,0.006,-0.008,-0.879,303.029,358.075,2.100,9,roller
12-00-02,1,0.268,0.003,0.006,-0.955,328.723,229.386,169.665,9,roller
12-00-03,1,-0.073,-0.028,0.083,-0.989,101.293,135.989,350.787,9,roller
