Time,fms,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,individual,simulation
12-40-41,0,-0.005,0.630,-0.020,0.776,0.987,78.125,357.824,9,room
12-40-42,0,0.012,0.844,-0.071,0.483,7.862,120.549,323.242,9,room
12-40-43,0,0.001,0.933,-0.227,-0.216,25.766,207.585,6.535,9,room
12-40-44,0,-0.021,0.935,-0.108,-0.255,12.264,211.060,98.278,9,room
12-40-45,0,0.005,0.866,-0.018,0.467,2.271,123.361,131.566,9,room
12-40-46,0,0.002,0.757,-0.002,0.652,156.326,98.531,131.933,9,room
12-40-47,0,-0.010,0.809,-0.012,0.587,60.397,108.050,358.250,9,room
12-40-48,0,-0.014,0.774,0.006,0.628,195.945,101.884,231.555,9,room
12-40-49,0,-0.061,0.248,0.031,-0.038,173.536,84.840,123.844,9,room
12-40-50,0,-0.151,0.374,-0.013,-0.886,16.840,313.104,353.707,9,room
12-40-51,0,-0.115,0.555,-0.038,-0.768,13.742,277.250,355.689,9,room
12-40-52,0,0.027,0.322,-0.099,0.001,32.109,75.825,260.490,9,room
12-40-53,0,0.076,0.944,-0.147,0.257,18.586,150.357,4.183,9,room
12-40-54,0,-0.010,0.791,-0.017,0.591,151.878,106.440,358.215,9,room
12-40-55,0,-0.014,0.169,0.001,0.034,357.618,69.050,124.905,9,room
12-40-56,0,-0.031,-0.349,-0.006,-0.801,38.720,49.366,2.485,9,room
12-40-57,0,0.034,0.771,-0.034,0.624,5.716,102.054,197.724,9,room
12-40-58,0,-0.016,0.966,-0.024,0.137,37.150,163.916,323.201,9,room
12-40-59,0,-0.008,0.909,-0.042,-0.405,4.804,228.036,1.176,9,room
12-41-00,0,-0.001,0.884,0.025,0.393,229.786,132.250,1.873,9,room
12-41-01,0,-0.018,0.799,0.039,0.591,310.329,107.070,146.912,9,room
12-41-02,0,0.030,0.696,0.029,0.717,180.193,88.348,4.820,9,room
12-41-03,0,0.036,0.906,-0.074,0.322,9.710,141.117,2.020,9,room
12-41-04,0,-0.034,0.933,-0.223,-0.201,26.062,205.990,3.948,9,room
12-41-05,0,-0.051,0.936,-0.182,-0.272,21.941,212.657,124.944,9,room
12-41-06,0,-0.001,0.993,0.019,0.072,276.464,171.736,139.611,9,room
12-41-07,0,-0.011,0.924,0.046,0.373,354.637,135.935,0.686,9,room
12-41-08,0,-0.010,0.845,0.026,0.534,356.899,115.419,58.677,9,room
12-41-09,0,-0.003,0.537,0.005,0.509,157.756,84.520,123.848,9,room
12-41-10,0,0.002,0.819,-0.007,0.414,149.824,122.349,232.330,9,room
